entrezId	sym	refseqIds	refseqProtIds
204	AK2	NM_001199199.1,NM_013411.4,NR_037591.1,NM_001625.3,NR_037592.1	NP_001186128.1,NP_037543.1,NP_001616.1
205	AK4	NM_013410.3,NM_203464.2,NM_001005353.2	NP_037542.1,NP_982289.1,NP_001005353.1
207	AKT1	NM_001014432.1,NM_005163.2,NM_001014431.1	NP_001014432.1,NP_005154.2,NP_001014431.1
208	AKT2	NM_001243027.1,NM_001243028.1,NM_001626.4	NP_001229956.1,NP_001617.1,NP_001229957.1
210	ALAD	NM_000031.5	NP_000022.3
211	ALAS1	NM_000688.5,NM_199166.2	NP_954635.1,NP_000679.1
212	ALAS2	NM_000032.4,NM_001037968.3,NM_001037967.3	NP_001033056.1,NP_000023.2,NP_001033057.1
213	ALB	NM_000477.5	NP_000468.1
214	ALCAM	NM_001243283.1,NM_001243281.1,NM_001627.3,NM_001243280.1	NP_001230209.1,NP_001618.2,NP_001230212.1,NP_001230210.1
215	ABCD1	NM_000033.3	NP_000024.2
216	ALDH1A1	NM_000689.4	NP_000680.2
217	ALDH2	NM_000690.3,NM_001204889.1	NP_001191818.1,NP_000681.2
218	ALDH3A1	NM_000691.4,NM_001135167.1,NM_001135168.1	NP_001128639.1,NP_000682.3,NP_001128640.1
219	ALDH1B1	NM_000692.4	NP_000683.3
220	ALDH1A3	NM_000693.2	NP_000684.2
221	ALDH3B1	NM_000694.2,NM_001161473.1,NM_001030010.1	NP_001154945.1,NP_000685.1,NP_001025181.1
222	ALDH3B2	NM_000695.3,NM_001031615.1	NP_001026786.1,NP_000686.2
223	ALDH9A1	NM_000696.3	NP_000687.3
224	ALDH3A2	NM_001031806.1,NM_000382.2	NP_000373.1,NP_001026976.1
225	ABCD2	NM_005164.3	NP_005155.1
226	ALDOA	NM_184043.2,NM_001243177.1,NM_001127617.2,NM_000034.3,NM_184041.2	NP_908932.1,NP_908930.1,NP_001121089.1,NP_001230106.1,NP_000025.1
229	ALDOB	NM_000035.3	NP_000026.2
230	ALDOC	NM_005165.2	NP_005156.1
231	AKR1B1	NM_001628.2	NP_001619.1
101060475	LOC101060475	XR_171200.1	
238	ALK	NM_004304.4	NP_004295.2
239	ALOX12	NM_000697.2	NP_000688.2
240	ALOX5	NM_000698.3,NM_001256154.1,NM_001256153.1	NP_001243082.1,NP_000689.1,NP_001243083.1
241	ALOX5AP	NM_001204406.1,NM_001629.3	NP_001191335.1,NP_001620.2
242	ALOX12B	NM_001139.2	NP_001130.1
244	ANXA8L2	NM_001630.2	NP_001621.2
245	ALOX12P2	NR_002710.2	
246	ALOX15	NM_001140.3	NP_001131.3
247	ALOX15B	NM_001039130.1,NM_001141.2,NM_001039131.1	NP_001034220.1,NP_001132.2,NP_001034219.1
248	ALPI	NM_001631.3	NP_001622.2
249	ALPL	NM_001127501.2,NM_001177520.1,NM_000478.4	NP_000469.3,NP_001170991.1,NP_001120973.2
250	ALPP	NM_001632.3	NP_001623.3
251	ALPPL2	NM_031313.2	NP_112603.2
257	ALX3	NM_006492.2	NP_006483.2
258	AMBN	NM_016519.5	NP_057603.1
259	AMBP	NM_001633.3	NP_001624.1
262	AMD1	NM_001033059.1,NM_001634.4	NP_001028231.1,NP_001625.2
265	AMELX	NM_182681.1,NM_001142.2,NM_182680.1	NP_872622.1,NP_001133.1,NP_872621.1
266	AMELY	NM_001143.1	NP_001134.1
267	AMFR	NM_001144.5	NP_001135.3
268	AMH	NM_000479.3	NP_000470.2
269	AMHR2	NM_001164690.1,NM_020547.2,NM_001164691.1	NP_001158163.1,NP_001158162.1,NP_065434.1
270	AMPD1	NM_001172626.1,NM_000036.2	NP_001166097.1,NP_000027.2
271	AMPD2	NM_001257360.1,NM_004037.7,NM_001257361.1,NM_203404.1,NM_139156.3	NP_001244290.1,NP_004028.3,NP_631895.1,NP_001244289.1,NP_981949.1
272	AMPD3	NM_001025389.1,NM_001172430.1,NM_001172431.1,NM_000480.2,NM_001025390.1	NP_001165901.1,NP_001020560.1,NP_000471.1,NP_001165902.1,NP_001020561.1
273	AMPH	NM_139316.2,NM_001635.3	NP_001626.1,NP_647477.1
274	BIN1	NM_139345.2,NM_139346.2,NM_139343.2,NM_004305.3,NM_139351.2,NM_139347.2,NM_139349.2,NM_139344.2,NM_139348.2,NM_139350.2	NP_647594.1,NP_004296.1,NP_647595.1,NP_647599.1,NP_647596.1,NP_647598.1,NP_647601.1,NP_647593.1,NP_647600.1,NP_647597.1
275	AMT	NM_000481.3,NR_028435.1,NM_001164710.1,NM_001164711.1,NM_001164712.1	NP_000472.2,NP_001158182.1,NP_001158184.1,NP_001158183.1
276	AMY1A	NM_001008221.1,NM_004038.3	NP_001008222.1,NP_004029.2
277	AMY1B	NM_001008218.1	NP_001008219.1
278	AMY1C	NM_001008219.1	NP_001008220.1
279	AMY2A	XM_003960107.1,NM_000699.2	XP_003960156.1,NP_000690.1
280	AMY2B	NM_020978.3	NP_066188.1
283	ANG	NM_001097577.2,NM_001145.4	NP_001136.1,NP_001091046.1
284	ANGPT1	NM_001146.3,NM_001199859.1	NP_001186788.1,NP_001137.2
285	ANGPT2	NM_001147.2,NM_001118888.1,NM_001118887.1	NP_001112359.1,NP_001138.1,NP_001112360.1
286	ANK1	NM_020476.2,NM_000037.3,NM_020477.2,NM_020478.4,NM_020480.4,NM_020475.2,NM_001142445.1,NM_001142446.1	NP_065213.2,NP_065208.2,NP_065210.2,NP_000028.3,NP_001135918.1,NP_065211.2,NP_065209.2,NP_001135917.1
287	ANK2	NM_001127493.1,NM_001148.4,NM_020977.3	NP_001120965.1,NP_066187.2,NP_001139.3
288	ANK3	NM_001204404.1,NM_001204403.1,NM_020987.3,NM_001149.3	NP_066267.2,NP_001191333.1,NP_001140.2,NP_001191332.1
290	ANPEP	NM_001150.2	NP_001141.2
291	SLC25A4	NM_001151.3	NP_001142.2
292	SLC25A5	NM_001152.4	NP_001143.2
293	SLC25A6	NM_001636.3	NP_001627.2
131368	ZPLD1	NM_175056.1	NP_778226.1
301	ANXA1	NM_000700.1	NP_000691.1
302	ANXA2	NM_001002857.1,NM_001002858.2,NM_004039.2,NM_001136015.2	NP_001002857.1,NP_001002858.1,NP_004030.1,NP_001129487.1
303	ANXA2P1	NR_001562.2	
304	ANXA2P2	NR_003573.1	
305	ANXA2P3	NR_001446.2	
306	ANXA3	NM_005139.2	NP_005130.1
307	ANXA4	NM_001153.3	NP_001144.1
308	ANXA5	NM_001154.3	NP_001145.1
309	ANXA6	NM_001193544.1,NM_001155.4	NP_001146.2,NP_001180473.1
310	ANXA7	NM_004034.2,NM_001156.3	NP_004025.1,NP_001147.1
311	ANXA11	NM_145868.1,NM_145869.1,NM_001157.2	NP_665876.1,NP_665875.1,NP_001148.1
312	ANXA13	NM_004306.2,NM_001003954.1	NP_001003954.1,NP_004297.2
313	AOAH	NM_001177506.1,NM_001177507.1,NM_001637.3	NP_001170977.1,NP_001628.1,NP_001170978.1
314	AOC2	NM_009590.2,NM_001158.3	NP_001149.2,NP_033720.2
316	AOX1	NM_001159.3	NP_001150.3
317	APAF1	NM_181868.1,NM_181869.1,NM_013229.2,NM_001160.2,NM_181861.1	NP_863651.1,NP_863658.1,NP_863659.1,NP_001151.1,NP_037361.1
318	NUDT2	NM_001244390.1,NM_147172.2,NM_147173.2,NM_001161.4	NP_671701.1,NP_001152.1,NP_001231319.1,NP_671702.1
319	APOF	NM_001638.2	NP_001629.1
320	APBA1	NM_001163.3	NP_001154.2
321	APBA2	NM_001130414.1,NM_005503.3	NP_001123886.1,NP_005494.2
322	APBB1	NM_001164.3,NM_145689.1,NM_001257323.1,NM_001257326.1,NM_001257320.1,NM_001257321.1,NM_001257324.1,NM_001257325.1,NR_047512.1,NM_001257319.1,NM_001257322.1	NP_001244254.1,NP_001155.1,NP_663722.1,NP_001244250.1,NP_001244251.1,NP_001244249.1,NP_001244248.1,NP_001244253.1,NP_001244252.1,NP_001244255.1
323	APBB2	NM_001166054.1,NM_001166051.1,NM_001166050.1,NM_004307.1,NM_001166053.1,NM_001166052.1,NM_173075.4	NP_775098.2,NP_001159522.1,NP_001159525.1,NP_001159523.1,NP_001159526.1,NP_001159524.1,NP_004298.1
324	APC	NM_001127511.2,NM_001127510.2,NM_000038.5	NP_000029.2,NP_001120983.2,NP_001120982.1
325	APCS	NM_001639.3	NP_001630.1
326	AIRE	NM_000383.3	NP_000374.1
327	APEH	NM_001640.3	NP_001631.3
328	APEX1	NM_080648.2,NM_001641.3,NM_080649.2,NM_001244249.1	NP_542380.1,NP_001632.2,NP_001231178.1,NP_542379.1
329	BIRC2	NM_001256166.1,NM_001256163.1,NM_001166.4	NP_001243092.1,NP_001243095.1,NP_001157.1
330	BIRC3	NM_001165.4,NM_182962.2	NP_892007.1,NP_001156.1
331	XIAP	NM_001204401.1,NR_037916.1,NM_001167.3	NP_001158.2,NP_001191330.1
332	BIRC5	NM_001012270.1,NM_001168.2,NM_001012271.1	NP_001012271.1,NP_001159.2,NP_001012270.1
333	APLP1	NM_001024807.1,NM_005166.3	NP_001019978.1,NP_005157.1
334	APLP2	NM_001642.2,NR_024516.1,NR_024515.1,NM_001142278.1,NM_001243299.1,NM_001142277.1,NM_001142276.1	NP_001135750.1,NP_001633.1,NP_001135748.1,NP_001230228.1,NP_001135749.1
335	APOA1	NM_000039.1	NP_000030.1
336	APOA2	NM_001643.1	NP_001634.1
337	APOA4	NM_000482.3	NP_000473.2
338	APOB	NM_000384.2	NP_000375.2
339	APOBEC1	NM_001644.3	NP_001635.2
341	APOC1	NM_001645.3	NP_001636.1
342	APOC1P1	NR_028413.1,NR_028414.1,NR_028412.1	
343	AQP8	NM_001169.2	NP_001160.2
344	APOC2	NM_000483.4	NP_000474.2
345	APOC3	NM_000040.1	NP_000031.1
346	APOC4	NM_001646.2	NP_001637.1
347	APOD	NM_001647.3	NP_001638.1
348	APOE	NM_000041.2	NP_000032.1
350	APOH	NM_000042.2	NP_000033.2
351	APP	NM_000484.3,NM_001204303.1,NM_001136131.2,NM_201414.2,NM_001136130.2,NM_001136129.2,NM_001204301.1,NM_201413.2,NM_001204302.1,NM_001136016.3	NP_001129601.1,NP_001191232.1,NP_001129488.1,NP_001129602.1,NP_001129603.1,NP_000475.1,NP_958817.1,NP_958816.1,NP_001191230.1,NP_001191231.1
353	APRT	NM_000485.2,NM_001030018.1	NP_001025189.1,NP_000476.1
354	KLK3	NM_001648.2,NM_001030048.1,NM_001030047.1	NP_001639.1,NP_001025219.1,NP_001025218.1
355	FAS	NM_152872.2,NM_000043.4,NR_028035.2,NR_028036.2,NR_028033.2,NM_152871.2,NR_028034.2	NP_690611.1,NP_000034.1,NP_690610.1
356	FASLG	NM_000639.1	NP_000630.1
357	SHROOM2	NM_001649.2	NP_001640.1
358	AQP1	NM_198098.2,NM_001185061.1,NM_001185060.1,NM_001185062.1	NP_932766.1,NP_001171991.1,NP_001171989.1,NP_001171990.1
359	AQP2	NM_000486.5	NP_000477.1
360	AQP3	NM_004925.4	NP_004916.1
361	AQP4	NM_001650.4,NM_004028.3	NP_001641.1,NP_004019.1
362	AQP5	NM_001651.3	NP_001642.1
363	AQP6	NM_001652.3	NP_001643.2
364	AQP7	NM_001170.1	NP_001161.1
366	AQP9	NM_020980.3	NP_066190.2
367	AR	NM_000044.3,NM_001011645.2	NP_000035.2,NP_001011645.1
368	ABCC6	NM_001171.5,NM_001079528.3	NP_001162.4,NP_001072996.1
369	ARAF	NM_001256196.1,NM_001654.4,NM_001256197.1	NP_001243125.1,NP_001243126.1,NP_001645.1
372	ARCN1	NM_001655.4,NM_001142281.1	NP_001646.2,NP_001135753.1
373	TRIM23	NM_001656.3,NM_033227.2,NM_033228.2	NP_150230.1,NP_150231.1,NP_001647.1
374	AREG	NM_001657.2	NP_001648.1
375	ARF1	NM_001024228.1,NM_001024227.1,NM_001658.3,NM_001024226.1	NP_001019399.1,NP_001649.1,NP_001019398.1,NP_001019397.1
377	ARF3	NM_001659.2	NP_001650.1
378	ARF4	NM_001660.3	NP_001651.1
379	ARL4D	NM_001661.3	NP_001652.2
381	ARF5	NM_001662.3	NP_001653.1
382	ARF6	NM_001663.3	NP_001654.1
383	ARG1	NM_000045.3,NM_001244438.1	NP_001231367.1,NP_000036.2
384	ARG2	NM_001172.3	NP_001163.1
387	RHOA	NM_001664.2	NP_001655.1
388	RHOB	NM_004040.2	NP_004031.1
389	RHOC	NM_175744.4,NM_001042678.1,NM_001042679.1	NP_001036143.1,NP_786886.1,NP_001036144.1
390	RND3	NM_001254738.1,NM_005168.4	NP_001241667.1,NP_005159.1
391	RHOG	NM_001665.3	NP_001656.2
392	ARHGAP1	NM_004308.3	NP_004299.1
393	ARHGAP4	NM_001164741.1,NM_001666.4	NP_001657.3,NP_001158213.1
394	ARHGAP5	NM_001173.2,NM_001030055.1	NP_001025226.1,NP_001164.2
395	ARHGAP6	NM_013423.2,NM_013427.2,NM_006125.2	NP_006116.2,NP_038267.1,NP_038286.2
396	ARHGDIA	NM_004309.4,NM_001185077.1,NM_001185078.1	NP_001172007.1,NP_004300.1,NP_001172006.1
397	ARHGDIB	NM_001175.4	NP_001166.3
398	ARHGDIG	NM_001176.3	NP_001167.2
399	RHOH	NM_004310.3	NP_004301.1
400	ARL1	NM_001177.4	NP_001168.1
401	PHOX2A	NM_005169.3	NP_005160.2
402	ARL2	NM_001667.3,NM_001199745.1	NP_001658.2,NP_001186674.1
403	ARL3	NM_004311.3	NP_004302.1
405	ARNT	NM_178427.2,NM_001197325.1,NM_001668.3	NP_848514.1,NP_001184254.1,NP_001659.1
406	ARNTL	NM_001178.4,NM_001030273.1,NM_001030272.1	NP_001025443.1,NP_001025444.1,NP_001169.3
407	ARR3	NM_004312.2	NP_004303.2
408	ARRB1	NM_004041.4,NM_020251.3	NP_004032.2,NP_064647.1
409	ARRB2	NM_001257330.1,NM_001257328.1,NM_001257329.1,NR_047516.1,NM_001257331.1,NM_199004.1,NM_004313.3	NP_001244257.1,NP_945355.1,NP_001244260.1,NP_001244259.1,NP_004304.1,NP_001244258.1
410	ARSA	NM_000487.5,NM_001085426.2,NM_001085428.2,NM_001085425.2,NM_001085427.2	NP_001078894.2,NP_000478.3,NP_001078897.1,NP_001078895.2,NP_001078896.2
411	ARSB	NM_198709.2,NM_000046.3	NP_000037.2,NP_942002.1
412	STS	NM_000351.4	NP_000342.2
414	ARSD	NM_001669.3	NP_001660.2
415	ARSE	NM_000047.2	NP_000038.2
416	ARSF	NM_001201539.1,NM_004042.4,NM_001201538.1	NP_004033.2,NP_001188467.1,NP_001188468.1
417	ART1	NM_004314.2	NP_004305.2
419	ART3	NM_001130017.2,NM_001130016.2,NM_001179.5	NP_001123488.1,NP_001170.2,NP_001123489.1
420	ART4	NM_021071.2	NP_066549.2
421	ARVCF	NM_001670.2	NP_001661.1
427	ASAH1	NM_177924.3,NM_004315.4,NM_001127505.1	NP_004306.3,NP_001120977.1,NP_808592.2
429	ASCL1	NM_004316.3	NP_004307.2
430	ASCL2	NM_005170.2	NP_005161.1
432	ASGR1	NM_001197216.2,NM_001671.4	NP_001184145.1,NP_001662.1
433	ASGR2	NM_080912.3,NM_080914.2,NM_001181.4,NM_001201352.1,NM_080913.3	NP_550436.1,NP_550434.1,NP_001188281.1,NP_001172.1,NP_550435.1
434	ASIP	NM_001672.2	NP_001663.2
435	ASL	NM_000048.3,NM_001024944.1,NM_001024943.1,NM_001024946.1	NP_001020117.1,NP_001020115.1,NP_000039.2,NP_001020114.1
438	ASMT	NM_001171038.1,NM_001171039.1,NM_004043.2	NP_001164509.1,NP_004034.2,NP_001164510.1
439	ASNA1	NM_004317.2	NP_004308.2
