journalCount	pubName	pubSynonyms	titles	webservers	journalEIssns	journalIssns	uid	countries	languages
4	NLM US Department of Health and Human Public Health Service Centers for Disease Control	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control	Healthy People 2000 statistical notes|Healthy People 2000 statistics and surveillance|MMWR. CDC surveillance summaries : Morbidity and mortality weekly report. CDC surveillance summaries|Morbidity and mortality weekly report. Surveillance summaries : MMWR		|||1545-8636	|||0892-3787	9315564|9315565|8407977|8400155	United States	eng
1	NLM Harvard Dental Alumni Association	Harvard Dental Alumni Association	Harvard dental alumni bulletin.			0046-6891	17240080R	United States	eng
1	NLM Cancer Research Institute	Cancer Research Institute	Cancer immunity	cancerimmunity.org	1424-9634		101119871	United States	eng
1	NLM Cardiff Wales 1938 [1968?	Cardiff, Wales, 1938-[1968?]	The Proceedings of the Cardiff Medical Society.				7505858	Wales	eng
1	NLM Council On Foundations	Council On Foundations	Foundation news.			0015-8976	0253250	United States	eng
1	NLM South Dakota Nurses Association	South Dakota Nurses Association	The South Dakota nurse.			0038-335X	0044560	United States	eng
1	NLM Państwowe Wydawnictwo Naukowe	Państwowe Wydawnictwo Naukowe	Szczecińskie Towarzystwo Naukowe, Wydział Nauk Lekarskich.			0082-125X	7809101	Poland	ger
1	NLM Svenska Arbetsgwarefoereningen	Svenska Arbetsgwarefoereningen	Nordisk hygienisk tidskrift. Supplementum.			0300-9122	0246623	Sweden	eng
1	NLM King and Wirth	King & Wirth Pub. Co	Intensive care world.			0266-7037	8600423	England	eng
1	NLM Capitol Publication inc	Capitol Publication, inc	Health manpower report.			0161-6781	7801226	United States	eng
1	NLM University of Maryland Medical And Chirurgical Faculty	University Of Maryland. Medical And Chirurgical Faculty	Maryland state medical journal.			0025-4363	2985229R	United States	eng
1	NLM Academia Panameña de Medicina y Cirugia	Academia Panameña de Medicina y Cirugia	Revista médica de Panamá.	revistamedica.org		0379-1629	7706654	Panama	spa
1	NLM Colorado Medical Society	Colorado Medical Society]	Colorado medicine.			0199-7343	8003550	United States	eng
1	NLM Published by the Jordan Dental Association in cooperation with the dental sections of the Royal Medical	Published by the Jordan Dental Association in cooperation with the dental sections of the Royal Medical Services	The Jordan dental journal.			0258-4638	8411106	Jordan	eng
1	NLM TIGIS in association with the National Institute of Public Health	TIGIS, Ltd. in association with the National Institute of Public Health	Central European journal of public health.			1210-7778	9417324	Czech Republic	eng
1	NLM Institute of Tropical Medicine National University of Taiwan	Institute of Tropical Medicine, National University of Taiwan	The Chinese review of tropical medicine.				16140240R	China (Republic : 1949- )	eng
2	NLM American Society of Contemporary Ophthalmology	American Society of Contemporary Ophthalmology|American Society Of Contemporary Ophthalmology	Annals of ophthalmology.|Annals of ophthalmology.		1558-9951|	1530-4086|0003-4886	100893534|0210137	United States	eng
1	NLM Far East Trade	Far East Trade Press	Modern medicine of Asia.			0377-1504	7513643	China	eng
1	NLM Instituto Espanol De Fisiologia Y Bioquimica	Instituto Espanol De Fisiologia Y Bioquimica	Revista española de fisiología.			0034-9402	0404475	Spain	spa
2	NLM Sociedad Latinoamericana De Nutricion	Sociedad Latinoamericana De Nutricion|Universidad Del Zulia	Archivos latinoamericanos de nutrición.|Investigación clínica.	scielo.org.ve	|	0004-0622|0535-5133	0067507|0421531	Venezuela	spa
9	NLM National Research Council of Canada	National Research Council Of Canada|National Research Council of Canada|NRC Research Press	Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme.|Biochemistry and cell biology = Biochimie et biologie cellulaire.|Canadian journal of biochemistry and cell biology = Revue canadienne de biochimie et biologie cellulaire.|Canadian journal of biochemistry.|Canadian journal of research.|Genome Génome / Conseil national de recherches Canada.|Canadian journal of physiology and pharmacology.|Canadian journal of microbiology.|Canadian journal of zoology.	nrcresearchpress.com	1715-5320|1208-6002||||1480-3321|1205-7541|1480-3275|1480-3283	1715-5312|0829-8211|0714-7511|0008-4018||0831-2796|0008-4212|0008-4166|0008-4301	101264333|8606068|8302763|0421034|16030060R|8704544|0372712|0372707|0372716	Canada	eng
1	NLM Iraqi Dental Association	Iraqi Dental Association	Iraqi Dental Journal.				9883855	Iraq	eng
1	NLM Indian Dental Association Ahmedabad Branch	Indian Dental Association. Ahmedabad Branch	Dental Discourse.				9877839	India	eng
1	NLM CRC Division Chemical Rubber	CRC Press Division, Chemical Rubber Co	CRC critical reviews in bioengineering.			0045-642X	1307350	United States	eng
2	NLM American Governance and Leadership	American Governance & Leadership Group	Healthcare leadership report.|Healthcare leadership & management report.		|	1551-8906|1533-2292	101209410|100958264	United States	eng
1	NLM Joint Commission On Accreditation of Hospitals	Joint Commission On Accreditation Of Hospitals	JCAH perspectives.			0277-8327	8208742	United States	eng
1	NLM Trained Nurses Association of Pakistan	Trained Nurses Association Of Pakistan	The Pakistan nursing and health review.				19510520R	Pakistan	eng
2	NLM American Society of Nephrology	American Society of Nephrology	Clinical journal of the American Society of Nephrology : CJASN.|Journal of the American Society of Nephrology : JASN.	jasn.org|cjasn.org	1555-905X|1533-3450	1555-9041|1046-6673	101271570|9013836	United States	eng
1	NLM Edition Medecine Et Hygiene	Edition Medecine Et Hygiene	Genetic counseling.			1015-8146	9015261	Switzerland	eng
1	NLM Centro De Odontologia Pediatrica	Centro De Odontologia Pediatrica	Acta de odontología pediátrica.			0252-1032	8112880	Dominican Republic	eng
1	NLM Dapim Refuiim	Dapim Refuiim	Dapim refuiim. Folia medica.			0366-9637	0071461	Israel	heb
1	NLM Zuchschwerdt	Zuchschwerdt Verlag	Clinical physiology and biochemistry.			0252-1164	8305885	Germany	eng
1	NLM Academy of Management	Academy of Management	Academy of management review.			0363-7425	9877758	United States	eng
1	NLM Norske Laegeforening	Norske Laegeforening	Tidsskrift for den Norske lægeforening : tidsskrift for praktisk medicin, ny række.	tidsskriftet.no	0807-7096	0029-2001	0413423	Norway	nor
1	NLM Société Europa édition	Société Europa édition	EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology.	pcronline.com	1969-6213	1774-024X	101251040	France	eng
1	NLM American College of Physican Executives	American College of Physican Executives	Physician executive.			0898-2759	8610398	United States	eng
1	NLM American College of Veterinary Toxicologists	American College of Veterinary Toxicologists	Veterinary and human toxicology.			0145-6296	7704194	United States	eng
1	NLM Farbenfabriken Bayer	Farbenfabriken Bayer	Veterinary medical review.			0506-8274	0060752	Germany	eng
1	NLM United States Conference of Mayors	United States Conference of Mayors	HIV capsule report.				9417025	United States	eng
1	NLM Cairo 1909?] 56	[Cairo, 1909?]-56	The Medical press of Egypt.			0369-1411	18530110R	Egypt	eng
1	NLM The Institution	The Institution	Annual report of the Board of Regents of the Smithsonian Institution.			0096-4093	0244324	United States	eng
1	NLM Editura Celsius	Editura Celsius	Chirurgia			1221-9118	9213031	Romania	rum
2	NLM American Society for Nutrition	American Society for Nutrition	Advances in nutrition|The Journal of nutrition.	advances.nutrition.org|jn.nutrition.org	2156-5376|1541-6100	2161-8313|0022-3166	101540874|0404243	United States	eng
1	NLM Pharmaceutical Society of the State of New York	Pharmaceutical Society of the State of New York	New York state pharmacist.			0028-7660	7804165	United States	eng
1	NLM Western Society of Periodontology Foundation	Western Society of Periodontology Foundation	The Journal of the Western Society of Periodontology/Periodontal abstracts.			0148-4893	7705433	United States	eng
1	NLM Nephrology News and Issues	Nephrology News & Issues, Inc	Nephrology news & issues.	nephnews.com		0896-1263	8709753	United States	eng
2	NLM Health Care Communications	Health Care Communications, Inc|Health Care Communications	Health care innovations : the journal of the American Association of Preferred Provider Organizations.|AAPPO journal : the journal of the American Association of Preferred Provider Organizations.		|	1085-1089|1054-5913	9506760|9206330	United States	eng
2	NLM C Slack	C. Slack|C. Slack]	Journal of gerontological nursing.|Journal of the Association for the Care of Children in Hospitals.	jognonline.com	|	0098-9134|0145-3351	7510258|7613888	United States	eng
3	NLM Data Trace	Data Trace Pub. Co|Data Trace Publishing Co	Journal of surgical orthopaedic advances.|Foot & ankle international|Journal of the Southern Orthopaedic Association.	newslettersonline.com|fai.sagepub.com	|1944-7876|	1548-825X|1071-1007|1059-1052	101197881|9433869|9211289	United States	eng
3	NLM Radcliffe Medical	Radcliffe Medical Press|Published for the Primary Health Care Specialist Group of the British Computer Society by Radcliffe Medical Press	Quality in primary care.|Education for primary care : an official publication of the Association of Course Organisers, National Association of GP Tutors, World Organisation of Family Doctors.|Informatics in primary care.	radcliffe-oxford.com|ingentaconnect.com	1479-1064|1475-990X|1475-9985	1479-1072|1473-9879|1476-0320	101182136|101141280|101150138	England	eng
1	NLM Newcastle upon Tyne	Newcastle-upon-Tyne	University of Durham medical gazette.				21430120R	England	eng
3	NLM Cygnus Business	Cygnus Business Media	EMS world.|EMS magazine.|Emergency medical services.	emsworld.com|emsresponder.com	|1946-9365|	|1946-4967|0094-6575	101547538|101466002|0431735	United States	eng
1	NLM Sichuan Sheng sheng wu yi xue gong cheng xue hui	Sichuan Sheng sheng wu yi xue gong cheng xue hui	Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi.	swyxgcx.periodicals.net.cn		1001-5515	9426398	China	chi
2	NLM Journal of Rheumatology	Journal of Rheumatology Pub. Co|Journal Of Rheumatology Publishing Co	The Journal of rheumatology. Supplement.|The Journal of rheumatology.	jrheum.org	|	0380-0903|0315-162X	7806058|7501984	Canada	eng
1	NLM office Des Epizooties	Office International Des Epizooties	Bulletin - Office international des épizooties.			0300-9823	7503361	France	eng
1	NLM Librairie Fuery Lamy	Librairie Fuery Lamy	L'Année thérapeutique et clinique en ophtalmologie.			0301-4495	0405351	France	fre
1	NLM Committee of Ten Thousand	Committee of Ten Thousand	The Common factor : the newsletter of the Committee of Ten Thousand Advocate for Persons with HIV Disease.				9310060	United States	eng
1	NLM Jewish Memorial Hospital	Jewish Memorial Hospital	The Jewish Memorial Hospital bulletin.			0021-6585	0414131	United States	eng
1	NLM US Navy Bureau of Medicine And Surgery	U.S. Navy, Bureau Of Medicine And Surgery	Navy medicine.	med.navy.mil		0895-8211	8708694	United States	eng
1	NLM Texas Dental Association	Texas Dental Association	Texas dental journal.			0040-4284	2984821R	United States	eng
1	NLM Washington etc	Washington, etc	Environmental health series. RH, Radiological health.			0071-0911	0216004	United States	eng
1	NLM Utah State Nurses Association	Utah State Nurses Association	Utah nurse.			0049-5727	21430480R	United States	eng
1	NLM Department of Health Education and Welfare Health Care Financing Administration Medicaid Bureau	Dept. of Health, Education, and Welfare, Health Care Financing Administration, Medicaid Bureau	Journal for Medicaid management.			0147-6726	7800045	United States	eng
1	NLM American Association of Health Plans	American Association of Health Plans	Healthplan.			1087-3678	9707233	United States	eng
1	NLM Clinical And Experimental Rheumatology SAS	Clinical And Experimental Rheumatology S.A.S	Clinical and experimental rheumatology.	clinexprheumatol.org		0392-856X	8308521	Italy	eng
1	NLM Columbia University Presbyterian School of Nursing Alumni Association	Columbia University-Presbyterian School Of Nursing Alumni Association	Alumni magazine	cuphsonaa.org		0898-4093	8504267	United States	eng
1	NLM Ohio State Nurses' Association	Ohio State Nurses' Association	Ohio nurses review.			0030-0993	19330290R	United States	eng
1	NLM Orange County Medical Association	Orange County Medical Association	The bulletin of the Orange County Medical Association.			0272-9059	8009457	United States	eng
3	NLM National Association of Healthcare Access Management	National Association of Healthcare Access Management	Access management journal|The NAHAM management journal.|NAHAM access management journal.	naham.org	1551-9023||	|1057-3526|1534-9861	101203872|9102192|101125179	United States	eng
1	NLM Singapore Trained Nurses Association	Singapore Trained Nurses Association	The Nursing journal of Singapore.			0067-5814	0411330	Singapore	eng
1	NLM Arizona State Dental Association	Arizona State Dental Association	The Arizona dental journal.			0004-1459	0372657	United States	eng
1	NLM American College of Physicians American Society of Internal Medicine	American College of Physicians-American Society of Internal Medicine	ACP journal club.	acpjc.org	1539-8560	1056-8751	9104824	United States	eng
1	NLM Journal of Dermatologic Surgery	Journal Of Dermatologic Surgery	The Journal of dermatologic surgery.			0097-9716	7505013	United States	eng
1	NLM Foundation For Orthodontic Research	Foundation For Orthodontic Research	Proceedings of the Foundation for Orthodontic Research.				7507378	United States	eng
1	NLM Istituto E Museo Di Storia Della Scienza	Istituto E Museo Di Storia Della Scienza	Nuncius			0394-7394	8807530	Italy	eng
1	NLM Moskovskii Universitet	Moskovskii Universitet	Bi︠u︡lletenʹ Moskovskogo obshchestva ispytateleĭ prirody. Otdel biologicheskiĭ.			0027-1403	7503320	Russia (Federation)	rus
1	NLM American Federation of Labor and Congress of Industrial Organizations	American Federation of Labor and Congress of Industrial Organizations]	The AFL-CIO American federationist.			0149-2489	9877748	United States	eng
1	NLM Escola de Enfermagem da Universidade Federal do Rio Grande e do Sul	Escola de Enfermagem da Universidade Federal do Rio Grande e do Sul	Revista gaúcha de enfermagem			0102-6933	8504882	Brazil	por
2	NLM Ecological Society of America	Ecological Society of America	Ecological applications : a publication of the Ecological Society of America.|Ecology.	jstor.org|esajournals.org	|	1051-0761|0012-9658	9889808|0043541	United States	eng
1	NLM Distributed by Almqvist and Wiksell	Distributed by Almqvist and Wiksell	Acta medica Scandinavica.			0001-6101	0370330	Sweden	eng
1	NLM ICDDRB: Centre for Health and Population Research	ICDDR,B: Centre for Health and Population Research	Journal of health, population, and nutrition.	jhpn.net	2072-1315	1606-0997	100959228	Bangladesh	eng
1	NLM Yonago Medical Association	Yonago Medical Association	Yonago igaku zasshi. The Journal of the Yonago Medical Association.			0044-0558	0417502	Japan	jpn
1	NLM NPG New York	NPG New York	Nature clinical practice. Urology.		1743-4289	1743-4270	101226508	United States	eng
1	NLM Naika Hokan Kankoki	Naika Hokan Kankoki	Naika hokan. Japanese archives of internal medicine.			0021-4809	0417455	Japan	jpn
1	NLM University of California Los Angeles Campus School of Medicine Atomic Energy Project	University Of California, Los Angeles Campus, School Of Medicine, Atomic Energy Project	UCLA [reports].				21830740R	United States	eng
2	NLM College of Radiographers	College Of Radiographers	Radiography today.|Radiography.		|	0954-8211|0033-8281	9002036|0401252	England	eng
1	NLM Wellington	Wellington	The New Zealand journal of science and technology. B. General section.			0369-6960	19110830R	New Zealand	eng
3	NLM Bureau of Medicine and Surgery	Bureau of Medicine and Surgery	U. S. Navy medicine.|Hospital Corps quarterly.|United States naval medical bulletin.		||	0364-6807||	1253474|17420450R|21420350R	United States	eng
1	NLM Boston University Medical Center	Boston University Medical Center	BMQ; the Boston medical quarterly.			0524-1162	0120774	United States	eng
1	NLM Neuer Hygiene	Neuer Hygiene Verlag	Städtehygiene.			0038-9005	7504521	Germany	ger
2	NLM F A Davis	F A Davis Co|F. A. Davis Co	Cardiovascular clinics.|The Davis nursing survey.		|	0069-0384|	0213744|16510420R	United States	eng
1	NLM Central African Journal of Medicine	Central African Journal Of Medicine	The Central African journal of medicine.			0008-9176	0372566	Zimbabwe	eng
1	NLM The Fund	The Fund	Paper series			0898-3135	8610109	United States	eng
1	NLM Family Planning Association	Family Planning Association	Medical newsletter.			0309-2569	7606227	England	eng
6	NLM Dental Learning Systems	Dental Learning Systems Co., Inc|Dental Learning Systems Co|Dental Learning Systems Co.]	Compendium of continuing education in dentistry. Supplement.|Postgraduate dentistry|Compendium. Supplement.|Compendium.|The Compendium of continuing education in dentistry.|The Compendium on continuing education in general dentistry.		|||||	|||0894-1009|0734-0338|0196-1756	101094904|101088681|9110139|8702480|8110106|8210675	United States	eng
1	NLM St Johns of God Brothers	St Johns Of God Brothers	Caritas.				9880341	Ireland	eng
1	NLM Nordisk Odontologisk Foereningen	Nordisk Odontologisk Foereningen	Scandinavian journal of dental research.			0029-845X	0270023	Denmark	eng
1	NLM Instituto Mexicano del Seguro Social	Instituto Mexicano del Seguro Social]	Revista médica.				20240030R	Mexico	spa
3	NLM Health	Health Media|Health Media Inc|International Health Publications	Canadian journal of nursing administration.|Infection control Canada.|Public health reviews.	publichealthreviews.eu	||	0838-2948|0833-076X|0301-0422	9100845|8703508|0370123	Canada|Israel	eng
1	NLM Tong ji yi ke da xue Fu shu xie he yi yuan	Tong ji yi ke da xue Fu shu xie he yi yuan	Lin chuang er bi yan hou ke za zhi = Journal of clinical otorhinolaryngology.			1001-1781	9426080	China	chi
1	NLM Westminster Medical School	Westminster Medical School	The Broadway.			0007-2133	0144400	England	eng
1	NLM PHD Manager Resource Books	PHD Manager, Resource Books	Pacific health dialog.	resourcebooks.co.nz		1015-7867	9434923	New Zealand	eng
1	NLM Warner Chilcott Laboratories	Warner-Chilcott Laboratories	World-wide abstracts of general medicine.				0202411	United States	eng
9	NLM Baywood	Baywood Publishing|Baywood Publishing Co|Baywood Pub. Co|Baywood Publishing Company	New solutions : a journal of environmental and occupational health policy : NS.|International quarterly of community health education.|International journal of aging & human development.|International journal of instructional media.|International journal of psychiatry in medicine.|Journal of collective negotiations in the public sector.|International journal of health services : planning, administration, evaluation.|Journal of drug education.|Omega.	baywood.metapress.com	1541-3772|1541-3519|||1541-3527||||1541-3764	1048-2911|0272-684X|0091-4150|0092-1815|0091-2174|0047-2301|0020-7314|0047-2379|0030-2228	9100937|8010942|0370033|9877780|0365646|9877813|1305035|1300031|1272106	United States	eng
1	NLM Council For Exceptional Children	Council For Exceptional Children	Exceptional children.			0014-4029	0375042	United States	eng
1	NLM Us Atomic Energy Commission Los Alamos Scientific Laboratory of The University of California	Us Atomic Energy Commission, Los Alamos Scientific Laboratory Of The University Of California	LA [reports].				21830480R	United States	eng
4	NLM BioScientifica	BioScientifica|BioScientifica Ltd	Endocrine-related cancer.|European journal of endocrinology|Journal of molecular endocrinology.|The Journal of endocrinology.	erc.endocrinology-journals.org|joe.endocrinology-journals.org|eje-online.org|jme.endocrinology-journals.org	1479-6821|1479-683X|1479-6813|1479-6805	1351-0088|0804-4643|0952-5041|0022-0795	9436481|9423848|8902617|0375363	England	eng
1	NLM Curant Communications	Curant Communications	Rehab management.	rehabpub.com		0899-6237	9216135	United States	eng
1	NLM WHO	WHO	Bulletin of the World Health Organization. Supplement.			0510-8659	8103493	Switzerland	eng
1	NLM Tennessee State Dental Association	Tennessee State Dental Association	Journal - Tennessee State Dental Association.			0091-3987	7503048	United States	eng
1	NLM Northwood	Northwood Publications	Hospital development.			0300-5720	0361026	England	eng
1	NLM Pride Institute	Pride Institute	Pride Institute journal of long term home health care.			0743-5088	8310856	United States	eng
1	NLM Canadian Science and Technology Historical Association	Canadian Science and Technology Historical Association	Scientia canadensis.			0829-2507	8709014	Canada	eng
1	NLM Australian Society for the History of Medicine	Australian Society for the History of Medicine	Health and history.	historycooperative.org		1442-1771	100888373	Australia	eng
3	NLM National Fire Protection Association	National Fire Protection Association	NFPA journal : the official magazine of the National Fire Protection Association.|Fire journal.|Fire technology.		||	1054-8793|0015-2617|0015-2684	9885590|9877774|9877775	United States	eng
1	NLM American Association For Contamination Control	American Association For Contamination Control	Contamination control.			0010-7395	0352463	United States	eng
1	NLM Ordre des infirmières et infirmiers auxiliaires du Québec	Ordre des infirmières et infirmiers auxiliaires du Québec	Santé Québec : revue de la Corporation professionnelle des infirmières et infirmiers auxiliaires du Québec.			1180-3983	9014566	Canada	fre
1	NLM Medicina Del Lavoro	Medicina Del Lavoro	La Medicina del lavoro.			0025-7818	0401176	Italy	ita
1	NLM American Academy of Physicians Assistants	American Academy of Physicians Assistants	JAAPA : official journal of the American Academy of Physician Assistants.			1547-1896	9513102	United States	eng
1	NLM US Department of Health and Human Health Care Financing Administration office of Research and Demonstrations	U.S. Dept. of Health and Human Services, Health Care Financing Administration, Office of Research and Demonstrations	Health care financing review. Annual supplement.			1057-9389	9617613	United States	eng
2	NLM Harvey and Blythe	Harvey & Blythe|Harvey & Blythe Ltd	Medicine illustrated.|Medical bookman and historian.		|	0266-982X|0266-8645	18610450R|101281329	England	eng
1	NLM Royal Belgian Society for Ear Nose Throat Head and Neck surgery	Royal Belgian Society for Ear, Nose, Throat, Head and Neck surgery	B-ENT.			1781-782X	101247842	Belgium	eng
1	NLM American Society of Health System Pharmacists	American Society Of Health-System Pharmacists	American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists.	ajhp.org	1535-2900	1079-2082	9503023	United States	eng
1	NLM Pennwell	Pennwell	Dental economics - oral hygiene.			0011-8583	0135416	United States	eng
1	NLM F and F	F & F Publications	Health practitioner. Physician assistant.			0192-7310	7904275	United States	eng
11	NLM Maney	Maney Pub|Maney Publishing|Maney	Paediatrics and international child health.|Pathogens and global health.|Cochlear implants international.|Journal of orthodontics.|Nutritional neuroscience.|International journal of occupational and environmental health.|The journal of spinal cord medicine.|Journal of chemotherapy.|Annals of tropical paediatrics.|Neurological research.|Annals of tropical medicine and parasitology.	ingentaconnect.com|maney.co.uk|jorthod.maneyjournals.org	2046-9055|2047-7732|1754-7628|1465-3133|1476-8305||2045-7723|1973-9478|1465-3281|1743-1328|1364-8594	2046-9047|2047-7724|1467-0100|1465-3125|1028-415X|1077-3525|1079-0268|1120-009X|0272-4936|0161-6412|0003-4983	101582666|101583421|101121166|100957268|100892202|9505217|9504452|8907348|8210625|7905298|2985178R	United States|England	eng
1	NLM Chinese Academy of Medical Sciences	Chinese Academy of Medical Sciences	Zhonghua zheng xing shao shang wai ke za zhi = Zhonghua zheng xing shao shang waikf [i.e. waike] zazhi = Chinese journal of plastic surgery and burns			1000-7806	8510296	China	chi
1	NLM College of General Practitioners	College of General Practitioners	The Journal of the College of General Practitioners.			0307-4749	7503074	England	eng
1	NLM Almqvist and Wiksell	Almqvist & Wiksell	Acta Societatis Medicorum Upsaliensis. Supplementum.				0332130	Sweden	eng
1	NLM Paleopathology Association	Paleopathology Association	Paleopathology newsletter.			0148-4737	7704329	United States	eng
