title	publisher	urls	eIssn	pIssn	subjects	society	empty
Annals of Clinical & Laboratory Science	Association of Clinical Scientists 	http://www.annclinlabsci.org 	1550-8080 	0091-7370 	Unknown	Association of Clinical Scientists, ACLS Board of Editors 	
Annals of Clinical Biochemistry	Royal Society of Medicine Press 	http://acb.rsmjournals.com 	1758-1001 	0004-5632 	Unknown	Association for Clinical Biochemistry 	
The Annals of Family Medicine	Annals of Family Medicine, Inc. 	http://www.annfammed.org 	1544-1717 	1544-1709 	Clinical Medicine General Practice / Primary Care Medicine 	AAFP, ABFM, STFM, ADFM, AFMRD, NAPCRG, & CFPC 	
Annals of Occupational Hygiene	Oxford University Press 	http://annhyg.oxfordjournals.org 	1475-3162 	0003-4878 	Occupational Health 	Unknown	
Annals of Oncology	Oxford University Press 	http://annonc.oxfordjournals.org 	1569-8041 	0923-7534 	Clinical Medicine Hematology Medicine Oncology 	Unknown	
The Annals of Pharmacotherapy	Harvey Whitney Books Company 	http://www.theannals.com 	1542-6270 	1060-0280 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Cardiovascular Medicine and Stroke Complementary Medicine Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Evidence Based Practice Gastroenterology Geriatric Medicine Hematology Infectious Diseases Palliative Medicine Pathology Pediatrics Psychiatry Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Surgery Travel Medicine Women's Health 	Harvey Whitney Books Company 	
The ANNALS of the American Academy of Political and Social Science	SAGE Publications 	http://ann.sagepub.com 	1552-3349 	0002-7162 	Unknown	American Academy of Political and Social Science 	
Annals of the Rheumatic Diseases	BMJ Publishing Group Ltd 	http://ard.bmj.com 	1468-2060 	0003-4967 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	BMJ Group 	
The Annals of Thoracic Surgery	Elsevier Science, Inc. 	http://ats.ctsnetjournals.org 	1552-6259 	0003-4975 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Computer Science Critical Care / Intensive Care Dermatology Developmental Biology Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
Anthropological Theory	SAGE Publications 	http://ant.sagepub.com 	1741-2641 	1463-4996 	Unknown	Unknown	
Anticancer Research	John G. Delinassios          (e-mail: editor@iiar-anticancer.org) 	http://ar.iiarjournals.org 	1791-7530 	0250-7005 	Unknown	International Institute of Anticancer Research (IIAR) 	
Antimicrobial Agents and Chemotherapy	American Society for Microbiology 	http://aac.asm.org 	1098-6596 	0066-4804 	Biochemistry Cell Biology Chemistry Dentistry and Oral Medicine Developmental Biology Genetics Genomics Immunology Infectious Diseases Medicine Microbiology Oncology Pharmacology Rheumatology Virology 	American Society for Microbiology 	
AoB Plants	Oxford University Press 	http://aobpla.oxfordjournals.org 	2041-2851 	Unknown	Unknown	Annals of Botany Company 	
Applied and Environmental Microbiology	American Society for Microbiology 	http://aem.asm.org 	1098-5336 	0099-2240 	Agriculture Atmospheric Science Biochemistry Cell Biology Chemistry Developmental Biology Earth Sciences Ecology Evolution Genetics Genomics Immunology Infectious Diseases Microbiology Nutrition Oceanography Pharmacology Physiology Planetary Sciences Plant Biology Population Biology Travel Medicine Virology 	American Society for Microbiology 	
Applied Economic Perspectives and Policy	Oxford University Press 	http://aepp.oxfordjournals.org 	2040-5804 	2040-5790 	Unknown	Agricultural and Applied Economics Association 	
Applied Linguistics	Oxford University Press 	http://applij.oxfordjournals.org 	1477-450X 	0142-6001 	Unknown	Unknown	
Applied Mathematics Research eXpress	Oxford University Press 	http://amrx.oxfordjournals.org 	1687-1197 	1687-1200 	Unknown	Oxford University Press 	
Applied Psychological Measurement	SAGE Publications 	http://apm.sagepub.com 	1552-3497 	0146-6216 	Unknown	Unknown	
Arbitration Law Reports and Review	Oxford University Press 	http://alrr.oxfordjournals.org 	2044-9887 	2044-8651 	Unknown	No 	
Archives of Clinical Neuropsychology	Oxford University Press 	http://acn.oxfordjournals.org 	1873-5843 	0887-6177 	Unknown	National Academy of Neuropsychology 	
Archives of Disease in Childhood	BMJ Publishing Group Ltd 	http://adc.bmj.com 	1468-2044 	0003-9888 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Royal College of Paediatrics and Child Health and BMJ Publishing Group 	
Archives of Disease in Childhood - Education and Practice	BMJ Publishing Group Ltd 	http://ep.bmj.com 	1743-0593 	1743-0585 	Unknown	BMJPG Ltd and Royal College of Paediatrics and Child Health 	
Archives of Disease in Childhood - Fetal and Neonatal Edition	BMJ Publishing Group Ltd 	http://fn.bmj.com 	1468-2052 	1359-2998 	Medicine Pediatrics 	Unknown	
Arctic Anthropology	University of Wisconsin Press 	http://aa.uwpress.org 	1933-8139 	0066-6939 	Unknown	Unknown	
Armed Forces & Society	SAGE Publications 	http://afs.sagepub.com 	1556-0848 	0095-327X 	Unknown	Inter-University Seminar on Armed Forces and Society 	
Arteriosclerosis, Thrombosis, and Vascular Biology	Lippincott Williams & Wilkins 	http://atvb.ahajournals.org 	1524-4636 	1079-5642 	Cardiovascular Medicine and Stroke Medicine Physiology 	American Heart Association 	
Arts and Humanities in Higher Education	SAGE Publications 	http://ahh.sagepub.com 	1741-265X 	1474-0222 	Unknown	Unknown	
ASH Education Program Book	The American Society of Hematology (ASH) 	http://asheducationbook.hematologylibrary.org 	1520-4383 	1520-4391 	Biochemistry Chemistry Clinical Medicine Hematology Medicine 	The American Society of Hematology (ASH) 	
Asia Pacific Journal of Human Resources	SAGE Publications 	http://apj.sagepub.com 	1744-7941 	1038-4111 	Unknown	Australian Human Resources Institute (AHRI) 	
Asia-Pacific Journal of Public Health	SAGE Publications 	http://aph.sagepub.com 	Unknown	1010-5395 	Unknown	Asia-Pacific Academic Consortium for Public Health 	
Asia-Pacific Journal of Management Research and Innovation	SAGE Publications India Pvt Ltd 	http://abr.sagepub.com 	Unknown	2319-510X 	Unknown	Asia-Pacific Institute of Management, New Delhi 	
Asian Cardiovascular and Thoracic Annals	SAGE Publications 	http://asianannals.ctsnetjournals.org 	1816-5370 	0218-4923 	Cardiovascular Medicine and Stroke Clinical Medicine Medicine 	Unknown	
Asian Journal of Management Cases	SAGE Publications 	http://ajc.sagepub.com 	0973-0621 	0972-8201 	Unknown	SAGE Publications 	
Assessment	SAGE Publications 	http://asm.sagepub.com 	1552-3489 	1073-1911 	Unknown	Unknown	
Assessment for Effective Intervention	SAGE Publications 	http://aei.sagepub.com 	Unknown	1534-5084 	Unknown	Hammill Institute on Disabilities and SAGE and CEDS 	
Astronomy & Geophysics	Oxford University Press 	http://astrogeo.oxfordjournals.org 	1468-4004 	1366-8781 	Unknown	Oxford University Press 	
Australasian Psychiatry	SAGE Publications 	http://apy.sagepub.com 	1440-1665 	1039-8562 	Unknown	Royal Australian and New Zealand College of Psychiatrists 	
Australian & New Zealand Journal of Criminology	SAGE Publications 	http://anj.sagepub.com 	1837-9273 	0004-8658 	Unknown	Australian and New Zealand Society of Criminology 	
Australian & New Zealand Journal of Psychiatry	SAGE Publications 	http://anp.sagepub.com 	1440-1614 	0004-8674 	Unknown	The Royal Australian and New Zealand College of Psychiatrists 	
Australian Journal of Management	SAGE Publications 	http://aum.sagepub.com 	1327-2020 	0312-8962 	Unknown	Australian School of Business, The University of New South Wales 	
Autism	SAGE Publications 	http://aut.sagepub.com 	1461-7005 	1362-3613 	Unknown	The National Autistic Society 	
Behavior Modification	SAGE Publications 	http://bmo.sagepub.com 	1552-4167 	0145-4455 	Unknown	Unknown	
Behavioral and Cognitive Neuroscience Reviews	SAGE Publications 	http://bcn.sagepub.com 	1552-4159 	1534-5823 	Unknown	Unknown	
