pIssn	eIssn	title	urls	subject	isStm	society	emptyField
0096-140X	1098-2337	AGGRESSIVE BEHAVIOR	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337	Psychology	STM Collection		 
1474-9718	1474-9726	AGING CELL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-9726	Life Sciences	STM Collection	Anatomical Society of Great Britain and Ireland	 
0742-4477	1520-6297	AGRIBUSINESS : AN INTERNATIONAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297	Business, Economics, Finance and Accounting    			 
1461-9555	1461-9563	AGRICULTURAL AND FOREST ENTOMOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563	Earth and Environmental Science	STM Collection	Royal Entomological Society	 
0169-5150	1574-0862	AGRICULTURAL ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862	Business, Economics, Finance and Accounting		International Association of Agricultural Economists	 
0001-1541	1547-5905	AICHE JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905	Chemistry   	STM Collection	American Institute of Chemical Engineers	 
0145-6008	1530-0277	ALCOHOLISM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277	Medical, Veterinary and Health Sciences	STM Collection	Research Society on Alcoholism	 
1042-1394	1556-7591	ALCOHOLISM AND DRUG ABUSE WEEKLY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591	Psychology			 
0269-2813	1365-2036	ALIMENTARY PHARMACOLOGY & THERAPEUTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036	Medical, Veterinary and Health Sciences	STM Collection		 
0105-4538	1398-9995	ALLERGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995	Medical, Veterinary and Health Sciences	STM Collection	European Academy of Allergy and Clinical Immunology	 
1549-4373	1549-4381	ALTERNATIVES TO THE HIGH COST OF LITIGATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381	Law and Criminology			 
0002-7294	1548-1433	AMERICAN ANTHROPOLOGIST	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433	Humanities and Social Sciences		American Anthropological Association	 
0002-7766	1744-1714	AMERICAN BUSINESS LAW JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714	Law and Criminology		Academy of Legal Studies in Business	 
0094-0496	1548-1425	AMERICAN ETHNOLOGIST	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425	Humanities and Social Sciences		American Anthropological Association	 
0002-9246	1536-7150	AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150	Humanities and Social Sciences		Ed Board (EDBOARD)	 
0361-8609	1096-8652	AMERICAN JOURNAL OF HEMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652	Medical, Veterinary and Health Sciences	STM Collection		 
1042-0533	1520-6300	AMERICAN JOURNAL OF HUMAN BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300	Life Sciences	STM Collection		 
0271-3586	1097-0274	AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274	Medical, Veterinary and Health Sciences	STM Collection		 
1552-4868	1552-4833	AMERICAN JOURNAL OF MEDICAL GENETICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876	Life Sciences	STM Collection		 
0002-9432	1939-0025	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-0025	Medical, Veterinary and Health Sciences		American Orthopsychiatric Association	 
0002-9483	1096-8644	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644	Life Sciences	STM Collection	American Association of Physical Anthropology	 
0092-5853	1540-5907	AMERICAN JOURNAL OF POLITICAL SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907	Humanities and Social Sciences		Midwest Political Science Association	 
0275-2565	1098-2345	AMERICAN JOURNAL OF PRIMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345	Life Sciences	STM Collection		 
1046-7408	1600-0897	AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897	Medical, Veterinary and Health Sciences	STM Collection	American Society for Reproductive Immunology  (ASRI)	 
1600-6135	1600-6143	AMERICAN JOURNAL OF TRANSPLANTATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143	Medical, Veterinary and Health Sciences	STM Collection	American Society of Transplant Surgeons	 
0003-2409	1365-2044	ANAESTHESIA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044	Medical, Veterinary and Health Sciences	STM Collection	Association of Anaesthetists of Great Britain and Ireland	 
1529-7489	1530-2415	ANALYSES OF SOCIAL ISSUES & PUBLIC POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415	Psychology		Society for the Psychological Study of Social Issues	 
2153-9596	2153-960X	ANALYTIC PHILOSOPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0149	Humanities and Social Sciences		Analysis Committee	 
0340-2096	1439-0264	ANATOMIA, HISTOLOGIA, EMBRYOLOGIA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264	Life Sciences	STM Collection		 
1935-9772	1935-9780	ANATOMICAL SCIENCES EDUCATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1935-9780	Life Sciences		American Association of Anatomists	 
0303-4569	1439-0272	ANDROLOGIA (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272	Medical, Veterinary and Health Sciences	STM Collection		 
0044-8249	1521-3757	ANGEWANDTE CHEMIE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757	Chemistry   	STM Collection	Gesellschaft Deutscher Chemiker	 
1433-7851	1521-3773	ANGEWANDTE CHEMIE INTERNATIONAL EDITION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773	Chemistry   	STM Collection	Gesellschaft Deutscher Chemiker	 
1367-9430	1469-1795	ANIMAL CONSERVATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795	Life Sciences	STM Collection	Zoological Society of London	 
0268-9146	1365-2052	ANIMAL GENETICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052	Life Sciences	STM Collection	International Society for Animal Genetics	 
1344-3941	1740-0929	ANIMAL SCIENCE JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-0929	Life Sciences	STM Collection	Japanese Society of Animal Science	 
0003-3804	1521-3889	ANNALEN DER PHYSIK	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889	Physics and Astronomy	STM Collection		 
2153-957X	2153-9588	ANNALS OF ANTHROPOLOGICAL PRACTICE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4797	Humanities and Social Sciences		American Anthropological Association	 
0003-4746	1744-7348	ANNALS OF APPLIED BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348	Life Sciences	STM Collection	Association of Applied Biologists	 
0003-4800	1469-1809	ANNALS OF HUMAN GENETICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809	Life Sciences	STM Collection	University College London (UCL)	 
0364-5134	1531-8249	ANNALS OF NEUROLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249	Medical, Veterinary and Health Sciences	STM Collection	Child Neurology Society	 
1082-720X	1542-474X	ANNALS OF NONINVASIVE ELECTROCARDIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X	Medical, Veterinary and Health Sciences	STM Collection	International Society for Holter and Noninvasive Electrocardiology, Inc.	 
1370-4788	1467-8292	ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292	Business, Economics, Finance and Accounting    		International Centre of Research and Information on the Public and Cooperative Economy	 
0077-8923	1749-6632	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632	Medical, Veterinary and Health Sciences	STM Collection	New York Academy of Sciences	 
0066-3832	1467-8314	ANNUAL BULLETIN OF HISTORICAL LITERATURE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8314	Humanities and Social Sciences		Historical Association	 
E-only title	1550-8382	ANNUAL REVIEW OF INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8382	Information Science and Computing	STM Collection	American Society for Information Science and Technology	 
0161-7761	1548-1492	ANTHROPOLOGY & EDUCATION QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492	Humanities and Social Sciences		American Anthropological Association	 
1559-9167	1548-1409	ANTHROPOLOGY & HUMANISM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409	Humanities and Social Sciences		American Anthropological Association	 
1053-4202	1556-3537	ANTHROPOLOGY OF CONSCIOUSNESS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537	Humanities and Social Sciences		American Anthropological Association	 
0883-024X	1548-1417	ANTHROPOLOGY OF WORK REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417	Humanities and Social Sciences		American Anthropological Association	 
0268-540X	1467-8322	ANTHROPOLOGY TODAY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8322	Humanities and Social Sciences		Royal Anthropological Institute	 
0066-4812	1467-8330	ANTIPODE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8330	Humanities and Social Sciences		Editorial Board	 
1445-1433	1445-2197	ANZ JOURNAL OF SURGERY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1445-2197	Medical, Veterinary and Health Sciences	STM Collection	Royal Australasian College of Surgeons	 
0903-4641	1600-0463	APMIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463	Medical, Veterinary and Health Sciences	STM Collection	Scandinavian Societies for Medical Microbiology and Pathology	 
0888-4080	1099-0720	APPLIED COGNITIVE PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720	Psychology			 
0268-2605	1099-0739	APPLIED ORGANOMETALLIC CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0739	Chemistry   	STM Collection		 
0269-994X	1464-0597	APPLIED PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1464-0597	Psychology		International Association of Applied Psychology	 
1758-0846	1758-0854	APPLIED PSYCHOLOGY: HEALTH AND WELL-BEING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-0854	Psychology		International Association of Applied Psychology	 
1524-1904	1526-4025	APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025	Mathematics and Statistics	STM Collection	International Society for Business and Industrial Statistics	 
1402-2001	1654-109X	APPLIED VEGETATION SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1654-109X	Earth and Environmental Science	STM Collection	International Association for Vegetation Science	 
1353-5773	1365-2095	AQUACULTURE NUTRITION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2095	Earth and Environmental Science	STM Collection		 
1355-557X	1365-2109	AQUACULTURE RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2109	Earth and Environmental Science	STM Collection		 
1052-7613	1099-0755	AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0755	Life Sciences	STM Collection		 
0905-7196	1600-0471	ARABIAN ARCHAEOLOGY AND EPIGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0471	Humanities and Social Sciences			 
1075-2196	1099-0763	ARCHAEOLOGICAL PROSPECTION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0763	Earth and Environmental Science	STM Collection		 
0003-813X	1475-4754	ARCHAEOMETRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4754	Humanities and Social Sciences		University of Oxford	 
1551-823X	1551-8248	ARCHEOLOGICAL PAPERS OF THE AMERICAN ANTHROPOLOGICAL ASSOCIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-8248	Humanities and Social Sciences		American Anthropological Association	 
0003-8504	1554-2769	ARCHITECTURAL DESIGN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-2769	Engineering 			 
0365-6233	1521-4184	ARCHIV DER PHARMAZIE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4184	Chemistry   	STM Collection	Deutsche Pharmazeutische Gesellschaft	 
E-only title	1753-5174	ARCHIVES OF DRUG INFORMATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-5174	Humanities and Social Sciences		Editor	 
0739-4462	1520-6327	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY  (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6327	Chemistry   	STM Collection		 
0004-0894	1475-4762	AREA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4762	Humanities and Social Sciences		Royal Geographical Society (with the Institute of British Geographers)	 
0309-7013	1467-8349	ARISTOTELIAN SOCIETY SUPPLEMENTARY VOLUME	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8349	Humanities and Social Sciences		Aristotelian Society	 
0141-6790	1467-8365	ART HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8365	Humanities and Social Sciences		Association of Art Historians	 
0004-3591	1529-0131	ARTHRITIS & RHEUMATISM	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1529-0131	Medical, Veterinary and Health Sciences	STM Collection	American College of Rheumatology	 
2151-464X	2151-4658	ARTHRITIS CARE AND RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2151-4658	Medical, Veterinary and Health Sciences	STM Collection	American College or Rheumatology	 
0160-564X	1525-1594	ARTIFICIAL ORGANS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-1594	Medical, Veterinary and Health Sciences	STM Collection	International Federation for Artificial Organs (IFAO)	 
1551-6970	1554-6306	ASHE HIGHER EDUCATION REPORT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306	Education			 
1038-4111	1744-7941	ASIA PACIFIC JOURNAL OF HUMAN RESOURCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7941	TBC		Australian Human Resources Institute (AHRI)	 
1360-7456	1467-8373	ASIA PACIFIC VIEWPOINT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8373	Humanities and Social Sciences		Victoria University of Wellington (VUW)	 
1351-3958	1467-8381	ASIAN ECONOMIC JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8381	Business, Economics, Finance and Accounting    		East Asian Economic Association	 
1832-8105	1748-3131	ASIAN ECONOMIC POLICY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-3131	Business, Economics, Finance and Accounting    		Japan Center for Economic Research	 
1561-8625	1934-6093	ASIAN JOURNAL OF CONTROL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1934-6093	Engineering 		Chinese Automatic Control Society	 
1758-5902	1758-5910	ASIAN JOURNAL OF ENDOSCOPIC SURGERY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-5910	Medical, Veterinary and Health Sciences		Asia Endosurgery Task Force	 
1367-2223	1467-839X	ASIAN JOURNAL OF SOCIAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-839X	Psychology		Asian Association of Social Psychology	 
1943-0779	1943-0787	ASIAN POLITICS AND POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1943-0787	Humanities and Social Sciences		Policy Studies Organisation	 
1753-1403	1753-1411	ASIAN SOCIAL WORK AND POLICY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-1411	Humanities and Social Sciences		Korean Academy of Social Welfare (KASW)	 
0818-9935	1467-8411	ASIAN-PACIFIC ECONOMIC LITERATURE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8411	Business, Economics, Finance and Accounting    		Asia Pacific School of Economics and Management, The Australian National University	 
1932-2135	1932-2143	ASIA-PACIFIC JOURNAL OF CHEMICAL ENGINEERING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-2143	Chemistry   	STM Collection	Curtin University	 
1743-7555	1743-7563	ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-7563	Medical, Veterinary and Health Sciences	STM Collection	Clinical Oncology Society of Australia (COSA)	 
2041-9945	2041-6156	ASIA-PACIFIC JOURNAL OF FINANCIAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2041-6156	Business, Economics, Finance and Accounting    		Korean Securities Association	 
1758-5864	1758-5872	ASIA-PACIFIC PSYCHIATRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-5872	Medical, Veterinary and Health Sciences		Pacific Rim College of Psychiatry	 
1041-6099	1536-0725	ASSESSMENT UPDATE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0725	Education			 
0004-6337	1521-3994	ASTRONOMISCHE NACHRICHTEN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3994	Physics and Astronomy	STM Collection		 
1366-8781	1468-4004	ASTRONOMY & GEOPHYSICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-4004	Physics and Astronomy	STM Collection	Royal Astronomical Society	 
E-only title	1530-261X	ATMOSPHERIC SCIENCE LETTERS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1530-261X	Earth and Environmental Science	STM Collection	Royal Meteorological Society	 
1442-9985	1442-9993	AUSTRAL ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-9993	Life Sciences	STM Collection	Ecological Society of Australia	 
0004-8380	1440-0960	AUSTRALASIAN JOURNAL OF DERMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-0960	Medical, Veterinary and Health Sciences	STM Collection	Australasian College of Dermatologists	 
1440-6381	1741-6612	AUSTRALASIAN JOURNAL ON AGEING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-6612	Medical, Veterinary and Health Sciences	STM Collection	Australian Council on the Ageing	 
1369-1473	1467-842X	AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-842X	Mathematics and Statistics	STM Collection	Statistical Society of Australia	 
1035-6908	1835-2561	AUSTRALIAN ACCOUNTING REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1835-2561	Business, Economics, Finance and Accounting    		CPA Australia	 
0004-8666	1479-828X	AUSTRALIAN AND NEW ZEALAND JOURNAL OF OBSTETRICS AND GYNAECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-828X	Medical, Veterinary and Health Sciences	STM Collection	Royal Australian and New Zealand College of Obstetricians and Gynaecologists	 
1326-0200	1753-6405	AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-6405	Medical, Veterinary and Health Sciences	STM Collection	Public Health Association of Australia	 
0045-0421	1834-7819	AUSTRALIAN DENTAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1834-7819	Medical, Veterinary and Health Sciences	STM Collection	Australian Dental Association	 
0004-8992	1467-8446	AUSTRALIAN ECONOMIC HISTORY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8446	Humanities and Social Sciences		Economic History Society of Australia and New Zealand	 
0004-900X	1467-8454	AUSTRALIAN ECONOMIC PAPERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8454	Business, Economics, Finance and Accounting    		University of Adelaide/Flinders University	 
