"Full Title","ISSN","Product ID","Change History"
"Avances en Diabetología","11343230","15953",
"Basal Ganglia","22105336","10068",
"Basic and Applied Ecology","14391791","10017",
"Behavior Therapy","00057894","04241",
"Behaviour Research and Therapy","00057967","00265",
"Behavioural Brain Research","01664328","05014",
"Behavioural Processes","03766357","05015",
"Best Practice & Research Clinical Anaesthesiology","15216896","12666","Formerly known as Baillière's Clinical Anaesthesiology"
"Best Practice & Research Clinical Endocrinology & Metabolism","1521690X","12667","Formerly known as Baillière's Clinical Endocrinology and Metabolism"
"Best Practice & Research Clinical Gastroenterology","15216918","12668","Formerly known as Baillière's Clinical Gastroenterology"
"Best Practice & Research Clinical Haematology","15216926","12669","Formerly known as Baillière's Clinical Haematology"
"Best Practice & Research Clinical Obstetrics & Gynaecology","15216934","12670","Formerly known as Baillière's Clinical Obstetrics and Gynaecology"
"Best Practice & Research Clinical Rheumatology","15216942","12671","Formerly known as Baillière's Clinical Rheumatology"
"Biocatalysis and Agricultural Biotechnology","18788181","12982",
"Biochemical and Biophysical Research Communications","0006291X","12009",
"Biochemical Engineering Journal","1369703X","06049","Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal"
"Biochemical Pharmacology","00062952","07505",
"Biochemical Systematics and Ecology","03051978","00364",
"Biochimica et Biophysica Acta (BBA) - Bioenergetics","00052728","05002","Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis; Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics"
"Biochimica et Biophysica Acta (BBA) - Biomembranes","00052736","05003","Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes"
"Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms","18749399","05005","Formerly known as Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression"
"Biochimica et Biophysica Acta (BBA) - General Subjects","03044165","05006","Formerly known as Biochimica et Biophysica Acta"
"Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease","09254439","05008",
"Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids","13881981","05007","Formerly known as Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism"
"Biochimica et Biophysica Acta (BBA) - Molecular Cell Research","01674889","05009",
"Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics","15709639","05010","Formerly known as Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology"
"Biochimica et Biophysica Acta (BBA) - Reviews on Cancer","0304419X","05012",
"Biochimie","03009084","09015",
"Bioelectrochemistry","15675394","06000","Formerly known as Bioelectrochemistry and Bioenergetics"
"Biological Conservation","00063207","02008",
"Biological Control","10499644","12012",
"Biological Psychiatry","00063223","07615",
"Biological Psychology","03010511","05016",
"Biologically Inspired Cognitive Architectures","2212683X","10106",
"Biologicals","10451056","12680","Formerly known as Journal of Biological Standardization"
"Biology of Blood and Marrow Transplantation","10838791","13342",
"Biomass and Bioenergy","09619534","00986",
"Biomaterials","01429612","03004","Incorporating Clinical Materials"
"Biomedical and Environmental Sciences","08953988","06074",
"Biomedical Signal Processing and Control","17468094","03099",
"BioMedicine","22118020","08787",
"Biomedicine & Aging Pathology","22105220","15880",
"Biomedicine & Pharmacotherapy","07533322","09018",
"Biomedicine & Preventive Nutrition","22105239","15879",
"Biometric Technology Today","09694765","02265",
"Bioorganic Chemistry","00452068","12014",
"Bioorganic & Medicinal Chemistry","09680896","00129",
"Bioorganic & Medicinal Chemistry Letters","0960894X","00972",
"Biophysical Chemistry","03014622","05142",
"Biophysical Journal","00063495","13437",
"Bioresource Technology","09608524","02009","Formerly known as Biological Wastes; Incorporating Energy in Agriculture and Biomass"
"Biosensors and Bioelectronics","09565663","02062","Formerly known as Biosensors"
"Biosystems","03032647","08005",
"Biosystems Engineering","15375110","12610","Formerly known as Journal of Agricultural Engineering Research"
"Biotechnology Advances","07349750","07533",
"Blood Cells, Molecules, and Diseases","10799796","12011",
"Blood Reviews","0268960X","12724",
"Body Image","17401445","04057",
"Boletín de AELFA","11378174","15783",
"Bone","87563282","07617","Formerly known as Metabolic Bone Disease and Related Research; Incorporating Bone and Mineral"
"Brachytherapy","15384721","07501",
"Brain, Behavior, and Immunity","08891591","12008",
"Brain and Cognition","02782626","12010",
"Brain and Development","03877604","05017",
"Brain and Language","0093934X","12015",
"Brain Research","00068993","05018","Incorporating Molecular Brain Research, Developmental Brain Research, Cognitive Brain Research and Brain Research Protocols"
"Brain Research Bulletin","03619230","07507",
"Brain Stimulation","1935861X","07809",
"Brazilian Journal of Anesthesiology","00347094","15900",
"The Brazilian Journal of Infectious Diseases","14138670","15901",
"The Breast","09609776","12725",
"Breast Diseases: A Year Book Quarterly","1043321X","13074",
"The British Accounting Review","08908389","12663",
"British Journal of Oral and Maxillofacial Surgery","02664356","12726","Formerly known as British Journal of Oral Surgery"
"Building and Environment","03601323","00296","Formerly known as Building Science"
"Bulletin of Faculty of Pharmacy, Cairo University","11100931","08785",
"Bulletin des Sciences Mathématiques","00074497","09019",
"Burns","03054179","03006",
"Business Horizons","00076813","07402",
"Cahiers de Nutrition et de Diététique","00079960","15441",
"Calphad","03645916","00254",
"Canadian Association of Radiologists Journal","08465371","14036",
"Canadian Journal of Cardiology","0828282X","14046",
"Canadian Journal of Diabetes","14992671","14119",
"Canadian Journal of Ophthalmology / Journal Canadien d'Ophtalmologie","00084182","14106",
"Cancer Cell","15356108","07595",
"Cancer Epidemiology","18777821","03022","Formerly known as Cancer Detection and Prevention"
"Cancer Genetics","22107762","07618","Formerly known as Cancer Genetics and Cytogenetics"
"Cancer Letters","03043835","08006",
"Cancer/Radiothérapie","12783218","09020","Formerly known as Bulletin du Cancer/Radiothérapie"
"Cancer Treatment Reviews","03057372","12645","Incorporating Evidence-based Oncology"
"Carbohydrate Polymers","01448617","02011",
"Carbohydrate Research","00086215","02162",
"Carbon","00086223","00258",
"Cardiac Electrophysiology Clinics","18779182","12925",
"Cardiocore","1889898X","15763",
"Cardiology Clinics","07338651","13203",
"Cardiovascular Pathology","10548807","07620",
"Cardiovascular Revascularization Medicine","15538389","07641","Formerly known as Cardiovascular Radiation Medicine"
"Case Studies in Engineering Failure Analysis","22132902","10138",
"Catalysis Communications","15667367","05570",
"Catalysis Today","09205861","05143",
"CATENA","03418162","05323",
"Cell","00928674","07590",
"Cell Calcium","01434160","12711",
"Cell Host & Microbe","19313128","07703",
"Cell Metabolism","15504131","13368",
"Cell Reports","22111247","14108",
"Cell Stem Cell","19345909","07704",
"Cellular Immunology","00088749","12020",
"Cellular Signalling","08986568","07520",
"Cement and Concrete Composites","09589465","02012","Formerly known as International Journal of Cement Composites and Lightweight Concrete"
"Cement and Concrete Research","00088846","00352","Incorporating Advanced Cement Based Materials"
"Ceramics International","02728842","02013","Formerly known as Ceramurgia International"
"Cerevisia","13737163","08715",
"Chaos, Solitons & Fractals","09600779","00967",
"Chemical Engineering Journal","13858947","06002","Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal"
"Chemical Engineering and Processing: Process Intensification","02552701","06001",
"Chemical Engineering Research and Design","02638762","08635",
"Chemical Engineering Science","00092509","00215",
"Chemical Geology","00092541","05324","Incorporating Chemical Geology: Isotope Geoscience section"
"Chemical Physics","03010104","05144",
"Chemical Physics Letters","00092614","05145",
"Chemico-Biological Interactions","00092797","08007",
"Chemie der Erde - Geochemistry","00092819","10001",
"Chemistry & Biology","10745521","02215",
"Chemistry and Physics of Lipids","00093084","08008",
"Chemometrics and Intelligent Laboratory Systems","01697439","05146","Incorporating Laboratory Automation & Information Management"
"Chemosphere","00456535","00362","Incorporating Chemosphere - Global Change Science"
"Child Abuse & Neglect","01452134","00586",
"Child and Adolescent Psychiatric Clinics of North America","10564993","13292",
"Children and Youth Services Review","01907409","00556",
"China Economic Review","1043951X","07403",
"China Journal of Accounting Research","17553091","08769",
"Chinese Astronomy and Astrophysics","02751062","00585","Formerly known as Chinese Astronomy"
"Chinese Chemical Letters","10018417","00997",
"Chinese Herbal Medicines","16746384","10129",
"Chinese Journal of Aeronautics","10009361","08595",
"Chinese Journal of Analytical Chemistry","18722040","08572",
"Chinese Journal of Catalysis","18722067","08575",
"Chinese Journal of Chemical Engineering","10049541","08553",
"Chinese Journal of Natural Medicines","18755364","08667",
"Chinese Journal of Traumatology (English Edition)","10081275","08646",
"Chinese Medical Sciences Journal","10019294","08670",
"Chirurgie de la Main","12973203","09088","Formerly known as Annales de Chirurgie de la Main et du Membre Supérieur"
"CIRP Annals - Manufacturing Technology","00078506","04092",
"CIRP Journal of Manufacturing Science and Technology","17555817","04113",
"Cirugía Española","0009739X","15745",
"Cirugía Española (English Edition)","21735077","15792",
"Cities","02642751","03008",
"City, Culture and Society","18779166","05635",
"Clinica Chimica Acta","00098981","05097",
"Clínica e Investigación en Arteriosclerosis","02149168","15756",
"Clínica e Investigación en Ginecología y Obstetricia","0210573X","15748",
"Clinical Biochemistry","00099120","07519",
"Clinical Biomechanics","02680033","03009",
"Clinical Breast Cancer","15268209","14051",
"Clinical Colorectal Cancer","15330028","14055",
"Clinical Gastroenterology and Hepatology","15423565","13344",
"Clinical Genitourinary Cancer","15587673","14053","Formerly known as Clinical Prostate Cancer"
"Clinical Imaging","08997071","07696","Formerly known as Journal of Computed Tomography"
"Clinical Immunology","15216616","12021","Formerly known as Clinical Immunology and Immunopathology"
"Clinical Lung Cancer","15257304","14056",
"Clinical Lymphoma Myeloma and Leukemia","21522650","14054","Formerly known as Clinical Lymphoma and Myeloma"
"Clinical Microbiology Newsletter","01964399","07624",
"Clinical Neurology and Neurosurgery","03038467","05024",
"Clinical Neurophysiology","13882457","08065","Formerly known as Electroencephalography and Clinical Neurophysiology; Incorporating Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control and Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section"
"Clinical Nutrition","02615614","12713",
"Clinical Nutrition Supplements","17441161","12712",
"Clinical Oncology","09366555","12914",
"Clinical Ovarian and Other Gynecologic Cancer","22129553","14052","Formerly know as Clinical Ovarian Cancer"
"Clinical Pediatric Emergency Medicine","15228401","13248",
"Clinical Plasma Medicine","22128166","10503",
"Clinical Psychology Review","02727358","00652",
"Clinical Queries: Nephrology","22119477","08799",
"Clinical Radiology","00099260","12821","Formerly known as Journal of the Faculty of Radiologists"
"Clinical Simulation in Nursing","18761399","13438",
"Clinical Therapeutics","01492918","07567",
"Clinical Update","10707212","13236",
"Clinics in Chest Medicine","02725231","13293",
"Clinics in Dermatology","0738081X","07623",
"Clinics in Geriatric Medicine","07490690","13298",
"Clinics in Laboratory Medicine","02722712","13230",
"Clinics in Liver Disease","10893261","13231",
"Clinics in Perinatology","00955108","13258",
"Clinics in Plastic Surgery","00941298","13105",
"Clinics in Podiatric Medicine and Surgery","08918422","13036",
"Clinics and Research in Hepatology and Gastroenterology","22107401","15350","Formerly known as Gastroentérologie Clinique et Biologique"
"Clinics in Sports Medicine","02785919","13113",
"Coastal Engineering","03783839","05325",
"Cognition","00100277","05257",
"Cognitive and Behavioral Practice","10777229","04242",
"Cognitive Development","08852014","07450",
"Cognitive Psychology","00100285","12022",
"Cognitive Systems Research","13890417","09913",
"Cold Regions Science and Technology","0165232X","05326",
"Collegian","13227696","04295",
"Colloids and Surfaces A: Physicochemical and Engineering Aspects","09277757","05149","Formerly part of Colloids and Surfaces"
"Colloids and Surfaces B: Biointerfaces","09277765","05150","Formerly part of Colloids and Surfaces"
"Colombian Journal of Anesthesiology","22562087","15972",
"Combinatorial Chemistry  -  an Online Journal","14643383","04037",
"Combustion and Flame","00102180","07630",
"Communications in Nonlinear Science and Numerical Simulation","10075704","05471",
"Communist and Post-Communist Studies","0967067X","03010","Formerly known as Studies in Comparative Communism"
"Community Oncology","15485315","13365",
"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","10956433","07515","Formerly known as Comparative Biochemistry and Physiology Part A: Physiology"
"Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology","10964959","07516","Formerly known as Comparative Biochemistry and Physiology Part B: Comparative Biochemistry"
"Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology","15320456","07517","Formerly known as Comparative Biochemistry and Physiology Part C: Pharmacology, Toxicology and Endocrinology"
"Comparative Biochemistry and Physiology Part D: Genomics and Proteomics","1744117X","07801",
"Comparative Immunology, Microbiology and Infectious Diseases","01479571","00496",
"Complementary Therapies in Clinical Practice","17443881","12742","Formerly known as Complementary Therapies in Nursing and Midwifery"
"Complementary Therapies in Medicine","09652299","12741",
"Composite Structures","02638223","02017",
"Composites Part A: Applied Science and Manufacturing","1359835X","03011","Incorporating Composites and Composites Manufacturing"
"Composites Part B: Engineering","13598368","00984","Formerly known as Composites Engineering"
"Composites Science and Technology","02663538","02019","Formerly known as Fibre Science and Technology"
"Comprehensive Psychiatry","0010440X","13295",
"Comptes Rendus Biologies","16310691","09026","Formerly known as Comptes Rendus de l'Académie des Sciences - Series III - Sciences de la Vie"
"Comptes Rendus Chimie","16310748","09025","Formerly known as Comptes Rendus de l'Académie des Sciences - Series IIC - Chemistry"
"Comptes Rendus Geoscience","16310713","09023","Formerly part of Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science"
"Comptes Rendus Mathematique","1631073X","09022","Formerly known as Comptes Rendus de l'Académie des Sciences - Series I - Mathematics"
"Comptes Rendus Mecanique","16310721","09024","Formerly known as Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics"
"Comptes Rendus Palevol","16310683","09112","Formerly part of Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science"
"Comptes Rendus Physique","16310705","09070","Formerly known as Comptes Rendus de l'Académie des Sciences - Series IV - Physics-Astrophysics"
"Computational Biology and Chemistry","14769271","00379","Formerly known as Computers & Chemistry"
"Computational Geometry","09257721","05258",
"Computational Materials Science","09270256","05193",
"Computational Statistics & Data Analysis","01679473","05364",
"Computational and Theoretical Chemistry","2210271X","05164","Formerly known as Journal of Molecular Structure: THEOCHEM"
"Computer-Aided Design","00104485","03014",
"Computer Aided Geometric Design","01678396","05259",
"Computer Communications","01403664","05260",
"Computer Fraud & Security","13613723","02065","Formerly known as Computer Fraud & Security Bulletin"
"Computer Languages, Systems & Structures","14778424","00350","Formerly known as Computer Languages"
"Computer Law & Security Review","02673649","02066",
"Computer Methods in Applied Mechanics and Engineering","00457825","06004",
"Computer Methods and Programs in Biomedicine","01692607","08010","Formerly known as Computer Programs in Biomedicine"
"Computer Networks","13891286","05262","Formerly known as Computer Networks and ISDN Systems"
"Computer Physics Communications","00104655","05194",
"Computer Science Review","15740137","14035",
"Computer Speech & Language","08852308","12659",
"Computer Standards & Interfaces","09205489","05264","Incorporating Computers and Standards and Interfaces in Computing"
"Computer Vision and Image Understanding","10773142","12024","Formerly known as CVGIP: Image Understanding"
"Computerized Medical Imaging and Graphics","08956111","00292","Formerly known as Computerized Radiology"
"Computers in Biology and Medicine","00104825","00351",
"Computers & Chemical Engineering","00981354","00349",
"Computers and Composition","87554615","07452",
"Computers & Education","03601315","00347",
"Computers & Electrical Engineering","00457906","00367",
"Computers and Electronics in Agriculture","01681699","05099",
"Computers, Environment and Urban Systems","01989715","00304","Formerly known as Urban Systems"
"Computers & Fluids","00457930","00365",
"Computers & Geosciences","00983004","00398",
"Computers and Geotechnics","0266352X","02016",
"Computers & Graphics","00978493","00371",
"Computers in Human Behavior","07475632","00759",
"Computers & Industrial Engineering","03608352","00399",
"Computers in Industry","01663615","05365",
"Computers & Mathematics with Applications","08981221","00301",
"Computers & Operations Research","03050548","00300","Incorporating Location Science"
"Computers & Security","01674048","02069",
"Computers & Structures","00457949","00359",
"Consciousness and Cognition","10538100","12018",
"Construction and Building Materials","09500618","03017",
"Contact Lens and Anterior Eye","13670484","05462","Formerly known as Journal of The British Contact Lens Association; Incorporating International Contact Lens Clinic"
"Contemporary Clinical Trials","15517144","07636","Formerly known as Controlled Clinical Trials"
"Contemporary Educational Psychology","0361476X","12019",
"Continental Shelf Research","02784343","00662",
"Contraception","00107824","07629",
"Control Engineering Practice","09670661","00123",
"Coordination Chemistry Reviews","00108545","06005",
"Cor et Vasa","00108650","11004",
"Corrosion Science","0010938X","00260",
"Cortex","00109452","15801",
"Cretaceous Research","01956671","12634",
"Critical Care Clinics","07490704","13050",
"Critical Care Nursing Clinics of North America","08995885","13159",
"Critical Perspectives on Accounting","10452354","12681",
"Critical Reviews in Oncology/Hematology","10408428","08011",
"Crop Protection","02612194","03018",
"Cryobiology","00112240","12023",
"Cryogenics","00112275","03019",
