PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA145007194	Congenital lactase deficiency	"Lactase Deficiency, Congenital",		SnoMedCT:5388008(Congenital lactase deficiency),UMLS:C0268179(C0268179)
PA145007197	Hypotonia-Cystinuria Syndrome(HCS)			
PA145007200	Coenzyme Q10 Deficiency, Primary			
PA145007205	spondylocostal dysostoses (SCDs)			
PA145069464	Deafness,nonsyndromic			
PA145069467	Hearing Loss, nonsyndromic			
PA150481190	Renal carnitine transport defect	"Carnitine transporter deficiency","Carnitine uptake defect","Primary carnitine deficiency","Systemic carnitine deficiency","systemic carnitine deficiency",		SnoMedCT:21764004(Renal carnitine transport defect),UMLS:C0342788(C0342788)
PA150516584	Homocysteinemia			
PA150527845	Persistent Hyperinsulinemia Hypoglycemia of Infancy	"Familial hyperinsulinaemia with pancreatic nesidioblastosis","Familial hyperinsulinemia with pancreatic nesidioblastosis","Hyperinsulinaemia due to nesidioblastosis","Hyperinsulinaemia due to pancreatic islet beta cell hyperplasia","Hyperinsulinemia due to nesidioblastosis","Hyperinsulinemia due to pancreatic islet beta cell hyperplasia","PHHI - Persistent hyperinsulinaemic hypoglycaemia of infancy","PHHI - Persistent hyperinsulinaemic hypoglycemia of infancy","PHHI - Persistent hyperinsulinemic hypoglycemia of infancy","Persistent hyperinsulinaemic hypoglycaemia of infancy","Persistent hyperinsulinaemic hypoglycemia of infancy","Persistent hyperinsulinemic hypoglycemia of infancy",		MeSH:D044903(Persistent Hyperinsulinemia Hypoglycemia of Infancy),NDFRT:N0000011154(Persistent Hyperinsulinemia Hypoglycemia of Infancy [Disease/Finding]),SnoMedCT:360337007(PHHI - Persistent hyperinsulinemic hypoglycemia of infancy),SnoMedCT:360339005(Persistent hyperinsulinemic hypoglycemia of infancy),UMLS:C1257959(C1257959)
PA150799050	secondary leukemia			
PA151958338	Neonatal death	"Death, Neonatal",		MedDRA:10011912(Death neonatal),SnoMedCT:6254007(Neonatal death),UMLS:C0410916(C0410916)
PA151958383	Gastrointestinal Stromal Tumors	"GIST - Gastrointestinal stromal tumor","Gastrointestinal stromal tumor","Gastrointestinal stromal tumors(GIST)",		MeSH:D046152(Gastrointestinal Stromal Tumors),MedDRA:10062427(Gastrointestinal stromal tumor),NDFRT:N0000011091(Gastrointestinal Stromal Tumors [Disease/Finding]),SnoMedCT:420120006(Gastrointestinal stromal tumor),UMLS:C0238198(C0238198)
PA151958591	Esophogeal Neoplasms			
PA151958642	FTLD	"Circumscribed cerebral atrophy","FTLD","Pick's disease",		NDFRT:N0000181173(Frontotemporal Lobar Degeneration [Disease/Finding]),UMLS:C0751072(Frontotemporal Lobar Degeneration [Disease/Finding])
PA151958644	Cerebral Hemorrhage with Amyloidosis,Hereditary,Dutch Type (HCHWAD)			
PA151958645	Argyrophilic Grain Disease (AGD)			
PA151958646	FTDP-17			
PA151958647	Corticobasal degeneration	"Corticobasal degeneration(CBD)","Corticodentatonigral degeneration with neuronal achromasia",		SnoMedCT:18842008(Corticobasal degeneration),UMLS:C0393570(C0393570)
PA152068054	Acquired partial lipodystrophy	"Hollander-Simons syndrome","Lipodystrophy, Acquired Partial","Progressive partial lipodystrophy",		MedDRA:10053857(Partial lipodystrophy),SnoMedCT:75659004(Acquired partial lipodystrophy),UMLS:C0220989(C0220989)
PA152132901	Hereditary Breast/Ovarian Cancer Syndrome			
PA152207461	Fragile X-associated Tremor/Ataxia Syndrome			
PA152208657	Cardio-facio-cutaneous Syndrome	"Cardio-facio-cutaneous syndrome",		SnoMedCT:403770008(Cardio-facio-cutaneous syndrome),UMLS:C1275081(C1275081)
PA152209815	HbH Disease			
PA152210107	Pituitary adenoma	"Adenoma, Pituitary",		MedDRA:10035079(Pituitary adenoma),SnoMedCT:128664001(Pituitary adenoma, no ICD-O subtype),UMLS:C0032000(C0032000)
PA152238047	Juvenile Polyposis of Infancy			
PA152238055	Craniofrontonasal Syndrome			
PA152238062	Pitt-Hopkins Syndrome			
PA152238063	Mowat-Wilson Syndrome			
PA152238066	Mental Retardation, X-Linked	"Copper transport disease","Menke's kinky hair syndrome","Menkes Kinky Hair Syndrome","Menkes disease","Mental Retardation, X-Linked (XLMR)","Steely hair disease",		MeSH:D038901(Mental Retardation, X-Linked),NDFRT:N0000010977(Mental Retardation, X-Linked [Disease/Finding]),UMLS:C1136249(Mental Retardation, X-Linked [Disease/Finding])
PA152238067	Crisponi Syndrome			
PA152238068	Cold-Induced Sweating Syndrome			
PA152238081	Fuhrmann Syndrome			
PA152238082	Al-Awadi/Raas-Rothschild/Schinzel Phocomelia Syndrome			
PA152238425	Multiple Pterygium Syndrome			SnoMedCT:205819008(Multiple pterygium syndrome),UMLS:C0265261(C0265261)
PA152238518	Epilepsy, Autosomal Dominant Nocturnal Frontal Lobe			
PA152239578	Matthew-Wood Syndrome			
PA152240221	Caudal Duplication Anomaly			
PA152241265	Opitz-Kaveggia Syndrome			
PA152241270	Alexander Disease	"Alexander disease","Fibrinoid leukodystrophy",		MeSH:D038261(Alexander Disease),NDFRT:N0000010949(Alexander Disease [Disease/Finding]),SnoMedCT:81854007(Alexander's disease),UMLS:C0270726(C0270726)
PA152241932	Opitz-Kaveggia syndrome			
PA152241952	Congenital diaphragmatic hernia	"CDH - Congenital diaphragmatic hernia","Congenital diaphragmatic hernia, NOS","Hernia, Congenital Diaphragmatic",		MedDRA:10010439(Congenital diaphragmatic hernia),SnoMedCT:17190001(Congenital diaphragmatic hernia),UMLS:C0235833(C0235833)
PA152241953	Encephalopathy, Infantile			
PA152246679	Pendred's syndrome	"Pendred Syndrome",		SnoMedCT:70348004(Pendred's syndrome),UMLS:C0271829(C0271829)
PA152246680	Nonsyndromic Enlargement of Vestibular Aqueduct	"Nonsyndromic Enlargement of Vestibular Aqueduct",		MeSH:D004712(Endolymphatic Sac),SnoMedCT:36214001(Structure of endolymphatic sac),UMLS:C0014168(C0014168)
PA152249159	Acrocephalopolysyndactyly type II	"Carpenter Syndrome",		SnoMedCT:403767009(Acrocephalopolysyndactyly type II),UMLS:C1275078(C1275078)
PA152407979	Familial aplasia of the vermis	"Joubert Syndrome","Joubert syndrome",		SnoMedCT:253175003(Familial aplasia of the vermis),UMLS:C0431399(C0431399)
PA152407980	Joubert Syndrome-Related Disorders			
PA152407981	JSRD-SLS			
PA152407982	Senior-Loken Syndrom			
PA152407983	Renal dysplasia and retinal aplasia	"Loken Senior syndrome","Senior-Loken Syndrome",		SnoMedCT:236531005(Renal dysplasia and retinal aplasia),UMLS:C0403553(C0403553)
PA152407984	Leber's amaurosis	"Congenital retinal blindness","Leber Congenital Amaurosis (LCA)",		NDFRT:N0000181128(Leber Congenital Amaurosis [Disease/Finding]),SnoMedCT:193413001(Leber's amaurosis),UMLS:C0339527(C0339527)
PA152408019	ACAD9 Deficiency			
PA152530787	Diabetes, Permanent Neonatal (PNDM)			
PA152530790	Lactic Acidosis, Fatal Infantile			
PA152530793	Brachydactyly type B			
PA152530805	Early Infantile Epileptic Encephalopathy With Suppression-Burst Pattern			
PA152530810	Corpus Callosum, Agenisis Of			
PA152530886	Eating Disorders	"Eating Disorder","Eating disorder, NOS","Female Athlete Triad Syndrome",		MeSH:D001068(Eating Disorders),MedDRA:10014062(Eating disorder),NDFRT:N0000000457(Eating Disorders [Disease/Finding]),SnoMedCT:72366004(Eating disorder),UMLS:C0013473(C0013473)
PA152545809	Lethal Congenital Contractual Syndrome Type 2			
PA152545810	Lethal Congenital Contractual Syndrome Type 3			
PA152545827	Cartilage Hair Hypoplasia			
PA152545828	Anauxetic Dysplasia			
PA152545865	Arts Syndrome			
PA153619780	Sitosterolemia			MedDRA:10063985(Phytosterolaemia),SnoMedCT:238104009(Sitosterolemia),UMLS:C0342907(C0342907)
PA153619833	Peripheral Vascular Diseases	"Angiopathies, Peripheral","Angiopathy, Peripheral","Disease, Peripheral Vascular","Diseases, Peripheral Vascular","Livedo Reticularis","Livedo racemosa","Livedo reticularis","PVD-peripheral vascular disease","Peripheral Angiopathies","Peripheral Angiopathy","Peripheral Arterial Disease","Peripheral Vascular Disease","Peripheral Vascular Diseases","Peripheral vascular disease","Peripheral vascular disease NOS","Vascular Disease, Peripheral","Vascular Diseases, Peripheral",		MeSH:D016491(Peripheral Vascular Diseases),MedDRA:10009194(Circulatory disorder peripheral),NDFRT:N0000003422(Peripheral Vascular Diseases [Disease/Finding]),SnoMedCT:195311000(Peripheral vascular disease NOS),SnoMedCT:400047006(Peripheral vascular disease),UMLS:C0085096(C0085096)
PA153626879	FG Syndrome			SnoMedCT:49984004(FG syndrome),UMLS:C0220769(C0220769)
PA153626883	X-linked mental retardation with marfanoid habitus syndrome	"Lujan-Fryns  Syndrome","Lujan-Fryns Syndrome","Lujan-Fryns syndrome","X-linked mental retardation with marfanoid habitus syndrome",		SnoMedCT:422437002(X-linked mental retardation with marfanoid habitus syndrome),UMLS:C0796022(C0796022)
PA153627455	Odonto-onycho-dermal Dysplasia	"Odonto-onycho-dermal dysplasia",		SnoMedCT:403762003(Odonto-onycho-dermal dysplasia),UMLS:C1275074(C1275074)
PA153627456	Opitz Trigonocephaly			
PA153627457	Bohring-Opitz Syndrome			
PA153627462	Pontocerebellar Hypoplasia			
PA153627493	Autoimmune Thyroid Disease			
PA153627658	Maturity-onset Diabetes of the Young Type 5			
PA153627659	Renal Disease, Pediatric			
PA153627681	Cleft Palate, X-Linked			
PA153627686	Raine Syndrome			
PA153627687	Retinal Vasculopathy with Cerebral Leukodystrophy (RVCL)			
PA153627690	Muscle Glycogen Storage Disease 0	"Muscle Glycogen Storage Disease 0",		MeSH:D005405(D-Ala(2),MePhe(4),Met(0)-ol-enkephalin)
PA153906318	Autism Spectrum Disorder			MedDRA:10063844(Autism spectrum disorder),UMLS:C1510586(Autism spectrum disorder)
PA154081794	Waardenburg-Hirschsprung Disease			
PA154400823	post-orthopedic			
PA157379134	Myalgia unspecified	"Myalgia",		MedDRA:10028287(Muscle ache),SnoMedCT:268010003(Myalgia unspecified),UMLS:C0231528(C0231528)
PA159018367	Brugada syndrome			MeSH:D053840(Brugada Syndrome),MedDRA:10059027(Brugada syndrome),NDFRT:N0000181195(Brugada Syndrome [Disease/Finding]),SnoMedCT:418818005(Brugada syndrome),UMLS:C1142166(C1142166)
PA160680212	Lymphoma, Large B-Cell, Diffuse	"Anaplastic large B-cell lymphoma","Angioendotheliomatosis","Angiotropic lymphoma","Diffuse Large B Cell Lymphoma","Diffuse large B-cell lymphoma","Diffuse malignant lymphoma - histiocytic","Diffuse malignant lymphoma - large cell","Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma","Diffuse non-Hodgkin's lymphoma, immunoblastic","Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)","Diffuse non-Hodgkin's lymphoma, large cell","Diffuse non-Hodgkin's lymphoma, large cell (clinical)","Histiocyte-rich large B-cell lymphoma","Histiocytic Lymphoma","Histiocytic Lymphomas","Immunoblastic malignant lymphoma - large cell","Large Cell Lymphoma","Large-Cell Lymphoma","Large-Cell Lymphomas","Lymphoma, Histiocytic","Lymphoma, Large B-Cell, Diffuse","Lymphoma, Large Cell","Lymphoma, Large-Cell","Lymphoma, Large-Cell, Immunoblastic","Lymphomas, Histiocytic","Lymphomas, Large-Cell","Malignant lymphoma - immunoblastic","Malignant lymphoma - large cell cleaved and non-cleaved","Malignant lymphoma, centroblastic","Malignant lymphoma, histiocytic, NOS","Malignant lymphoma, histiocytic, diffuse","Malignant lymphoma, large B-cell","Malignant lymphoma, large B-cell, diffuse","Malignant lymphoma, large B-cell, diffuse, centroblastic","Malignant lymphoma, large B-cell, diffuse, no ICD-O subtype","Malignant lymphoma, large cell","Malignant lymphoma, large cell, cleaved","Malignant lymphoma, large cell, diffuse [obs]","Malignant lymphoma, large cell, diffuse, NOS","Malignant lymphoma, large cell, immunoblastic","Malignant lymphoma, large cell, noncleaved","Malignant lymphoma, large cell, noncleaved, diffuse","Malignant lymphoma, noncleaved","Malignant lymphoma, noncleaved, diffuse","Reticulosarcoma","Reticulosarcomas","Reticulum Cell Sarcoma","Reticulum-Cell Sarcoma","Reticulum-Cell Sarcomas","Sarcoma, Reticulum Cell","Sarcoma, Reticulum-Cell","Sarcomas, Reticulum-Cell","T-cell rich large B-cell lymphoma","T-cell rich/histiocyte-rich large B-cell lymphoma","[M]Malignant lymphoma, immunoblastic type","[M]Malignant lymphoma, large cell, diffuse NOS",		MeSH:D016403(Lymphoma, Large B-Cell, Diffuse),MedDRA:10012818(Diffuse large B-cell lymphoma),NDFRT:N0000003402(Lymphoma, Large B-Cell, Diffuse [Disease/Finding]),SnoMedCT:109969005(Diffuse non-Hodgkin's lymphoma, large cell (clinical)),SnoMedCT:46732000(Malignant lymphoma, large B-cell, diffuse),UMLS:C0079744(C0079744)
PA161149039	xanthinuria			SnoMedCT:190919008(Xanthinuria),UMLS:C0220988(C0220988)
PA161411144	Degeneration of lumbar intervertebral disc	"Lumbar-Disc Degeneration",		MedDRA:10024991(Lumbar disc degeneration),SnoMedCT:26538006(Degeneration of lumbar intervertebral disc),UMLS:C0263874(C0263874)
PA161614136	Lumbar Disc Herniation			MedDRA:10066256(Lumbar disc herniation),UMLS:C0856301(Lumbar disc herniation)
PA161615744	Mental Retardation, Autosomal Recessive			
PA161660866	Schmid Metaphyseal Chondrodysplasia			
PA161845799	Aspergillosis Infection			
PA161907430	Parkinsonian-pyramidal syndrome			
PA161907438	Thoracic Aortic Aneurysms and Dissections (TAAD)			
PA162168973	transient neonatal diabetes			
PA162168980	brachyolmia	"Brachyolmia",		SnoMedCT:254088006(Brachyolmia),UMLS:C0432228(C0432228)
PA162263525	neuropathic pain	"Neuropathic pain",		MedDRA:10054095(Neuropathic pain),NDFRT:N0000002162(Neuralgia [Disease/Finding]),SnoMedCT:247398009(Neuropathic pain),UMLS:C0423716(C0423716)
PA162263526	Poststroke depression	"Maternity blues","Postpartum depression","Puerperal depression","Third day blues","poststroke depression",		MeSH:D019052(Depression, Postpartum),SnoMedCT:279225001(Maternity blues),SnoMedCT:58703003(Postpartum depression),UMLS:C0221074(C0221074)
PA162263533	nephrotoxicity			MedDRA:10067571(Nephrotoxicity),UMLS:C0599918(Nephrotoxicity)
PA162263534	Ototoxicity			MedDRA:10033109(Ototoxicity),SnoMedCT:9062008(Ototoxicity),UMLS:C0235280(C0235280)
PA162316739	Maculopapular Exanthema			
PA162355520	nephrolithiasis	"Nephrolithiasis NOS",		MeSH:D053040(Nephrolithiasis),MedDRA:10029148(Nephrolithiasis),NDFRT:N0000181137(Nephrolithiasis [Disease/Finding]),SnoMedCT:236707002(Nephrolithiasis NOS),UMLS:C0392525(C0392525)
PA162355648	microvillus inclusion disease			
PA162364308	Spondylothoracic Dysostosis			
PA162364314	Very-long-chain Acyl-coenzyme A Dehydrogenase Deficiency			
PA162370415	metabolic syndrome			MedDRA:10052066(Metabolic syndrome),UMLS:C0948265(Metabolic syndrome)
PA162370424	Primary Failure of Tooth Eruption			
PA162370425	Hypouricemia	"Hypouricemia, NOS","Renal Hypouricemia",		MedDRA:10021131(Hypouricaemia),SnoMedCT:4519003(Hypouricemia),UMLS:C0221333(C0221333)
PA162370426	Propionic acidemia	"Acidemia, Propionic","Hyperglycinemia with ketosis and leukopenia","Hyperglycinemia with ketosis and leukopenia, types I and II","Ketotic hyperglycinemia","Propionic Acids","Propionic acidaemia, type I AND/OR type II","Propionic acidemia, NOS",		NDFRT:N0000181104(Propionic Acidemia [Disease/Finding]),SnoMedCT:69080001(Propionic acidemia),UMLS:C0268579(C0268579)
PA162370428	Methylmalonic acidemia	"Acidemia, Methylmalonic","MMA - Methyl malonic acid","MMA - Methylmalonic aciduria","Methyl malonic acid","Methylmalonic Acid","Methylmalonic acidaemia","Methylmalonic acidemia, NOS",		MedDRA:10059521(Methylmalonic aciduria),SnoMedCT:42393006(Methylmalonic acidemia),UMLS:C0268583(C0268583)
PA162372590	Renal agenesis	"Renal Agenesis","Renal agenesis, unspecified NOS",		MedDRA:10038354(Renal agenesis),SnoMedCT:204942005(Renal agenesis),UMLS:C0542519(C0542519)
PA162372591	Cowden-like Syndrome			
PA162372622	X-linked Recessive Myopathies			
PA162372625	Microtia	"Congenital small ears",		MedDRA:10027555(Microtia),SnoMedCT:35045004(Microtia),UMLS:C0152423(C0152423)
PA162372626	Microcephalic Osteodysplastic Primordial Dwarfism Type II (MOPD II)			
PA162372748	Brittle Cornea Syndrome			
PA162372751	Hypothalamic Hamartomas			
PA162372760	SERKAL Syndrome			
PA162372765	Woodhouse-Sakati Syndrome			
PA162372800	Cousin Syndrome			
PA162372808	Hypogonadism	"Genital Infantilism","Genital Infantilisms","Hypogonadism","Hypogonadism, NOS","Hypogonadisms","Idiopathic Hypogonadotropic Hypogonadism","Infantilism, Genital","Infantilism, Sexual","Infantilisms, Genital","Infantilisms, Sexual","Sexual Infantilism","Sexual Infantilisms",		MeSH:D007006(Hypogonadism),MedDRA:10058359(Hypogonadism),NDFRT:N0000001636(Hypogonadism [Disease/Finding]),SnoMedCT:48130008(Hypogonadism),UMLS:C0020619(C0020619)
PA162372881	H Syndrome			
PA162373036	Perry syndrome			
PA162373094	Larsen Syndrome	"Larsen syndrome",		SnoMedCT:63387002(Larsen syndrome),UMLS:C0175778(C0175778)
PA162373095	Humero-spinal Dysostosis			
PA162373098	Mitochondrial Encephalomyopathies	"Encephalomyopathies",		MeSH:D017237(Mitochondrial Encephalomyopathies),NDFRT:N0000003558(Mitochondrial Encephalomyopathies [Disease/Finding]),UMLS:C0162666(Mitochondrial Encephalomyopathies [Disease/Finding])
PA162373099	Skeletal Dysplasia	"Congenital skeletal dysplasia","Skeletal dysplasia",		SnoMedCT:105986008(Skeletal dysplasia),UMLS:C0410528(C0410528)
PA162630456	Osteogenesis imperfecta, perinatal lethal	"Neonatal lethal osteogenesis imperfecta congenita","Osteogenesis Imperfecta Type II","Osteogenesis imperfecta type II","Osteogenesis imperfecta, dominant perinatal lethal","Osteogenesis imperfecta, type II",		SnoMedCT:205496008(Osteogenesis imperfecta, perinatal lethal),UMLS:C0268358(C0268358)
PA162652718	Cryptococcus neoformans	"Torula histolytica",		MeSH:D003455(Cryptococcus neoformans),MedDRA:10011491(Cryptococcus neoformans),SnoMedCT:67168003(Cryptococcus neoformans),UMLS:C0010416(C0010416)
PA164924608	Acute Necrotizing Encephalopathy			
PA164924611	Partial congenital absence of teeth	"Hypodontia","Oligodontia",		MedDRA:10055001(Hypodontia),SnoMedCT:64969001(Partial congenital absence of teeth),UMLS:C0020608(C0020608)
PA164924624	Pelvic Floor Disorders			
PA164925725	Toxic liver disease	"hepatotoxicity",		SnoMedCT:197354009(Toxic liver disease),UMLS:C0348754(C0348754)
PA164946504	normal tension glaucoma	"LTG","Low tension glaucoma","NTG","Normal pressure glaucoma",		MedDRA:10024931(Low tension glaucoma),NDFRT:N0000181051(Low Tension Glaucoma [Disease/Finding]),SnoMedCT:50485007(Low tension glaucoma),UMLS:C0152136(C0152136)
PA165108101	Epidemic encephalitis			MeSH:D004671(Encephalitis, Arbovirus),MedDRA:10003410(Arthropod-borne viral encephalitis),NDFRT:N0000001078(Encephalitis, Arbovirus [Disease/Finding]),SnoMedCT:186498004(Epidemic encephalitis),UMLS:C0014055(C0014055)
PA165108102	Laryngeal spasm	"Laryngospasm",		MeSH:D007826(Laryngismus),MedDRA:10023854(Laryngeal spasm),NDFRT:N0000001785(Laryngismus [Disease/Finding]),SnoMedCT:406444002(Laryngeal spasm),UMLS:C0023066(C0023066)
PA165108103	Unspecified choroidal hemorrhage	"Unspecified choroidal haemorrhage",		MeSH:D002832(Choroid Hemorrhage),MedDRA:10008786(Choroidal haemorrhage),NDFRT:N0000000779(Choroid Hemorrhage [Disease/Finding]),SnoMedCT:193475001(Unspecified choroidal hemorrhage),UMLS:C0008522(C0008522)
PA165108104	Dependent personality disorder			MeSH:D003859(Dependent Personality Disorder),MedDRA:10012354(Dependent personality),NDFRT:N0000000936(Dependent Personality Disorder [Disease/Finding]),SnoMedCT:84466009(Dependent personality disorder),UMLS:C0011548(C0011548)
PA165108105	Paget's disease NOS			MeSH:D010001(Osteitis Deformans),MedDRA:10031151(Osteitis deformans),NDFRT:N0000002242(Osteitis Deformans [Disease/Finding]),SnoMedCT:203354006(Paget's disease NOS),UMLS:C0029401(C0029401)
PA165108108	Glycogen storage disease, type III	"Cori's disease","Limit dextrin - glycogen",		MeSH:D006010(Glycogen Storage Disease Type III),MedDRA:10011945(Debrancher deficiency),NDFRT:N0000001363(Glycogen Storage Disease Type III [Disease/Finding]),SnoMedCT:66937008(Glycogen storage disease, type III),UMLS:C0017922(C0017922)
PA165108109	Liver echinococcus unspecified			MeSH:D004444(Echinococcosis, Hepatic),MedDRA:10014099(Echinococcosis, unspecified, of liver),NDFRT:N0000001042(Echinococcosis, Hepatic [Disease/Finding]),SnoMedCT:187142001(Liver echinococcus unspecified),UMLS:C0013504(C0013504)
PA165108110	Dyslipidaemia	"Dyslipidemia",		MeSH:D050171(Dyslipidemias),MedDRA:10058108(Dyslipidaemia),NDFRT:N0000171679(Dyslipidemias [Disease/Finding]),SnoMedCT:370992007(Dyslipidaemia),UMLS:C0242339(C0242339)
PA165108111	Incontinentia pigmenti syndrome	"Bloch-Siemens syndrome","Bloch-Sulzberger syndrome",		MeSH:D007184(Incontinentia Pigmenti),NDFRT:N0000001675(Incontinentia Pigmenti [Disease/Finding]),SnoMedCT:367520004(Incontinentia pigmenti syndrome),UMLS:C0021171(C0021171)
PA165108112	Calciphylaxis			MeSH:D002115(Calciphylaxis),MedDRA:10051714(Calciphylaxis),NDFRT:N0000000645(Calciphylaxis [Disease/Finding]),SnoMedCT:237900002(Calciphylaxis),UMLS:C0006666(C0006666)
PA165108113	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke	"Juvenile myopathy, encephalopathy, lactic acidosis and stroke",		MeSH:D017241(MELAS Syndrome),MedDRA:10053872(MELAS syndrome),NDFRT:N0000003560(MELAS Syndrome [Disease/Finding]),SnoMedCT:39925003(Juvenile myopathy, encephalopathy, lactic acidosis AND stroke),UMLS:C0162671(C0162671)
PA165108114	Salmonella gastroenteritis	"Enteric paratyphosis",		MeSH:D012478(Salmonella Food Poisoning),MedDRA:10017914(Gastroenteritis salmonella),NDFRT:N0000002665(Salmonella Food Poisoning [Disease/Finding]),SnoMedCT:42338000(Salmonella gastroenteritis),UMLS:C0036114(C0036114)
PA165108115	Congenital mesenteric cyst			MeSH:D008639(Mesenteric Cyst),NDFRT:N0000001998(Mesenteric Cyst [Disease/Finding]),SnoMedCT:253802003(Congenital mesenteric cyst),UMLS:C0025467(C0025467)
PA165108116	Deficiency of alkaline phosphatase			MeSH:D007014(Hypophosphatasia),MedDRA:10049933(Hypophosphatasia),NDFRT:N0000001643(Hypophosphatasia [Disease/Finding]),SnoMedCT:360792001(Deficiency of alkaline phosphatase),UMLS:C0020630(C0020630)
PA165108117	Sinoatrial block	"Sinoauricular block","Sinoauricular block, NOS",		MeSH:D012848(Sinoatrial Block),MedDRA:10065071(Exit block),NDFRT:N0000002754(Sinoatrial Block [Disease/Finding]),SnoMedCT:65778007(Sinoatrial block),UMLS:C0037188(C0037188)
