"HgeneSymbol","TgeneSymbol","diseaseName","pubmedIds"
"ETV6","RUNX1","acute lymphoblastic leukemia (ALL)","16020107"
"TCF3","PBX1","acute lymphoblastic leukemia (ALL)","16708911"
"PML","RARA","Acute promyelocytic leukemia (APL)","19109227"
"CRTC3","MAML2","mucoepidermoid carcinoma","18050304"
"CRTC1","MAML2","mucoepidermoid carcinoma","18050304"
"BCR","ABL1","CML, ALL","9844930"
"TCF3","PBX1","CML, ALL","9844930"
"MLL","AFF1","CML, ALL","9844930"
"ETV6","RUNX1","CML, ALL","9844930"
"BCR","ABL1","chronic myelomonocytic leukemia","15356652"
"NUP214","ABL1","TALL","19166098"
"EML4","ALK","nonsmall cell lung carcinoma","18242762"
"JAZF1","PHF1","Endometrial stromal sarcomas (ESS)","16397222"
"EPC1","PHF1","Endometrial stromal sarcomas (ESS)","16397222"
"SYT1","SSX1","synovial sarcomas","11107054"
"ETV6","NTRK3","synovial sarcomas","11107054"
"SYT1","SSX2","synovial sarcoma","11422798"
"ETV6","NTRK3","synovial sarcoma","11422798"
"EWSR1","FLII","Ewing tumor","9242212"
"FLII","EWSR1","peripheral primitive neuroectodermal tumor (pPNET)","15335184"
"EWSR1","WT1","Desmoplastic Small Round Cell Tumor (DSRCT)","18523561"
"FUS","DDIT3","myxoid liposarcomas (MLS)","18752119"
"EWSR1","DDIT3","myxoid liposarcomas (MLS)","18752119"
"EWSR1","ERG","Ewing family tumors (EFTs)","15846078"
"EWSR1","FLII","Ewing's family tumors (EFTs)","16717057"
"CIC","DUX4","Ewing's family tumors (EFTs)","16717057"
"FUS","GDNF","Angiomatoid fibrous histiocytoma (AFH)","17188428"
"EWSR1","GDNF","Angiomatoid fibrous histiocytoma (AFH)","17188428"
"EWSR1","GDNF","Clear cell sarcoma (CCS)","18300804"
"EWSR1","CREB1","Clear cell sarcoma (CCS)","18300804"
"BCR","ABL1","chronic myeloid leukemia (CML)","16341034"
"FIP1L1","PDGFRA","chronic myeloid leukemia (CML)","16341034"
"BCR","ABL1","chronic myeloid leukemia","17402211"
"FIP1L1","PDGFRA","chronic myeloid leukemia","17402211"
"BCR","ABL1","chronic myeloid leukemia (CML)","18467025"
"FUS","ERG","acute myeloid leukemia (AML)","9315104"
"FUS","DDIT3","acute myeloid leukemia (AML)","9315104"
"EWSR1","DDIT3","acute myeloid leukemia (AML)","9315104"
"SYT1","SSX2","soft tissue sarcomas (STSs)","11064357"
"FUS","DDIT3","soft tissue sarcomas (STSs)","11064357"
"EWSR1","ERG","soft tissue sarcomas (STSs)","11064357"
"EWSR1","GDNF","soft tissue sarcomas (STSs)","11064357"
"ALK","NPM1","anaplastic large cell lymphoma","11280613"
"GAL","TEK",,"9622101"
"HMGA2","NFIB","lipoma","16133369"
"HMGA2","LPP","lipoma","16133369"
"HMGA2","LPP","lipoma","18383898"
"HMGA2","VIPR1","lipoma","18383898"
"HMGA2","NFIB","lipoma","18383898"
"ALK","NPM1","anaplastic large cell lymphoma (ALCL)","17116485"
"TLX1","TLX1","anaplastic large cell lymphoma (ALCL)","17116485"
"MLL","SH3GL1","infant acute leukemia (IAL)","11877002"
"MLL","AFF1","infant acute leukemia (IAL)","11877002"
"MLL","MLLT3","infant acute leukemia (IAL)","11877002"
"MLL","MLLT1","infant acute leukemia (IAL)","11877002"
"EWSR1","TEC","Human extraskeletal myxoid chondrosarcoma (EMC)","18330902"
"FIP1L1","PDGFRA","lymphomatoid papulosis (LyP)","16965435"
"ETV6","RUNX1","acute lymphoblastic leukemia(ALL)","16627248"
"CBFB","MYH11",,"16193088"
"MYST3","NCOA2","acute monoblastic leukemia (AML)","11342350"
"JAZF1","PHF1","Endometrial stromal sarcomas (ESS)","18722875"
"SYT1","SSX2","synovial sarcoma (SS)","18774495"
"PAX5","IGH@","lymphoplasmacytic lymphoma (LPL)","16049306"
"EML4","ALK","nonsmall cell lung cancer (NSCLC)","19147828"
"EWSR1","FLII","Peripheral primitive neuroectodermal tumour","9822928"
"SYT1","SSX2","Primary synovial sarcoma","10217560"
"BCR","ABL1","chronic myelogenous leukemia (CML)","16468653"
"BCR","ABL1","acute lymphoblastic leukemia(ALL)","10953429"
"MLL","AFF1","acute lymphoblastic leukemia(ALL)","10953429"
"ETV6","RUNX1","acute lymphoblastic leukemia(ALL)","10953429"
"MLL","AFF1","childhood acute leukemia (AL)","16383239"
"MLL","MLLT4","childhood acute leukemia (AL)","16383239"
"MLL","MLLT4","AML","16086288"
"MLL","MLLT3","AML","16086288"
"MLL","MLLT6","AML","16086288"
"MLL","ELL","AML","16086288"
"MLL","AFF1","acute myeloid leukemia, acute lymphoid leukemia","16169901"
"MLL","MLLT3","acute myeloid leukemia, acute lymphoid leukemia","16169901"
"MLL","AFF1",,"16151462"
"MLL","MLLT3",,"16151462"
"MLL","MLLT1",,"16151462"
"MLL","MYO1F","infant acute monocytic leukemia","15897884"
"MLL","MLLT1","infant acute monocytic leukemia","15897884"
"MLL","ELL","infant acute monocytic leukemia","15897884"
"MLL","SH3GL1","infant acute monocytic leukemia","15897884"
"MLL","AFF1","acute lymphoblastic leukemia, acute myeloid leukemia","17284365"
"MLL","MLLT3","acute lymphoblastic leukemia, acute myeloid leukemia","17284365"
"MYST3","NCOA2","acute myeloid leukemia (AML)","18754862"
"MYST3","OPN1LW","acute myeloid leukemia (AML)","18754862"
"MYST3","EP300","acute myeloid leukemia (AML)","18754862"
"MYST3","NCOA2","pediatric therapyrelated myelodysplastic syndrome","12619166"
"MYST3","OPN1LW","pediatric therapyrelated myelodysplastic syndrome","12619166"
"MYST3","EP300","pediatric therapyrelated myelodysplastic syndrome","12619166"
"TCF3","ZNF384","acute leukemia","18185522"
"NOP2","TCF3","acute leukemia","18185522"
"EWSR1","FLII","nonHodgkin's lymphoma","7656205"
"NPM1","ALK","nonHodgkin's lymphoma","7656205"
"NPM1","ALK","anaplastic large cell lymphoma","15184887"
"NPM1","MLF1","myelodysplastic syndrome, acute myeloid leukemia","9328447"
"NPM1","ALK","myelodysplastic syndrome, acute myeloid leukemia","9328447"
"NPM1","ALK","anaplastic largecell lymphoma (ALCL)","9885226"
"NPM1","RARA","anaplastic largecell lymphoma (ALCL)","9885226"
"NPM1","MLF1","anaplastic largecell lymphoma (ALCL)","9885226"
"ZBTB16","RARA","Acute promyelocytic leukemia (APL)","10339585"
"NPM1","RARA","Acute promyelocytic leukemia (APL)","10339585"
"TCF3","PBX1","Several human leukemias","11369863"
"NUP98","HOXA9","Several human leukemias","11369863"
"NUP98","HOXD13","therapyrelated acute myelogenous leukemia (tAML)","9766650"
"NUP98","HOXA9","therapyrelated acute myelogenous leukemia (tAML)","9766650"
"NUP98","PRRX1","chronic myeloid leukemia (CML)","16651408"
"NUP98","HOXA9","chronic myeloid leukemia (CML)","16651408"
"NUP98","HOXC11","chronic myeloid leukemia (CML)","16651408"
"BCR","ABL1","chronic myelogenous leukemia (CML),myelodysplastic syndromes (MDS),acute myelogenous leukemia(AML)","11241795"
"NUP98","HOXA9","chronic myelogenous leukemia (CML),myelodysplastic syndromes (MDS),acute myelogenous leukemia(AML)","11241795"
"NUP98","HOXD13","acute myeloid leukemia","17656257"
"NUP98","DDX10","acute myeloid leukemia (AML)","15951287"
"NUP98","NSD1","acute myeloid leukemia (AML)","15951287"
"NUP98","TOP1","acute myeloid leukemia (AML)","15951287"
"NUP98","PSIP1","acute myeloid leukemia(AML)","11103774"
"NUP98","TNFRSF1B","acute myeloid leukemia(AML)","11103774"
"BCR","ABL1","chronic myeloid leukemia","15087031"
"EWSR1","FLII","Ewing sarcomas","19150107"
"PAX7","FOXO1","Rhabdomyosarcoma","19215790"
"PAX3","FOXO1","Rhabdomyosarcomas (RMS)","19235922"
"PAX7","FOXO1","Rhabdomyosarcomas (RMS)","19235922"
"EWSR1","FLII","sarcoma","16213703"
"PAX3","FOXO1","sarcoma","16213703"
"FUS","DDIT3","sarcoma","16213703"
"PAX5","SLCO1B3",,"18957548"
"PAX5","ASXL1",,"18957548"
"PAX5","KIF3B",,"18957548"
"PAX5","C20ORF112",,"18957548"
"PAX3","FOXO1","Embryonal Rhabdomyosarcoma (eRMS)","17652054"
"PAX7","FOXO1","Embryonal Rhabdomyosarcoma (eRMS)","17652054"
"PAX3","FOXO1","rhabdomyosarcoma","18988640"
"PAX7","FOXO1","rhabdomyosarcoma","18988640"
"PAX7","FOXO1","alveolar rhabdomyosarcoma","17613043"
"PAX3","FOXO1","alveolar rhabdomyosarcoma","17613043"
"PAX3","FOXO1","rhabdomyosarcoma","17285543"
"PAX7","FOXO1","rhabdomyosarcoma","17285543"
"PAX3","FOXO1","alveolar rhabdomyosarcoma (ARMS)","17097083"
"PAX7","FOXO1","alveolar rhabdomyosarcoma (ARMS)","17097083"
"PAX3","FOXO1","alveolar rhabdomyosarcoma (ARMS)","16607381"
"PAX7","FOXO1","alveolar rhabdomyosarcoma (ARMS)","16607381"
"PAX3","FOXO1","Alveolar rhabdomyosarcoma (RMS)","10063718"
"PAX7","FOXO1","Alveolar rhabdomyosarcoma (RMS)","10063718"
"PAX3","FOXO1","alveolar rhabdomyosarcoma","9223312"
"PAX7","FOXO1","alveolar rhabdomyosarcoma","9223312"
"PAX3","FOXO1","rhabdomyosarcoma","9164192"
"PAX7","FOXO1","rhabdomyosarcoma","9164192"
"PAX3","FOXO1","malignant tumors","10534762"
"PAX7","FOXO1","malignant tumors","10534762"
"PAX3","FOXO1","Rhabdomyosarcomas","11452933"
"PAX7","FOXO1","Rhabdomyosarcomas","11452933"
"PML","RARA","Thyroid carcinoma, myeloid leukemia","16209039"
"PAX8","PPARG","Thyroid carcinoma, myeloid leukemia","16209039"
"NCOA4","RET","Thyroid carcinoma, myeloid leukemia","16209039"
"PAX8","PPARG",,"17614769"
"CRTC1","MAML2","mucoepidermoid carcinoma","17539914"
"PML","RARA","acute promyelocytic leukemia (APL)","16331271"
"ZBTB16","RARA","acute promyelocytic leukemia (APL)","16331271"
"NPM1","RARA","acute promyelocytic leukemia (APL)","16331271"
"PML","RARA","acute promyelocytic leukemia","8018944"
"ZBTB16","RARA","acute promyelocytic leukemia","8018944"
"ZBTB16","RARA","Chronic myeloid leukemia(CML)","11776589"
"PML","RARA","acute promyelocytic leukemia","16112651"
"ZBTB16","RARA","acute promyelocytic leukemia","16112651"
"PML","RARA","acute promyelocytic leukemia (APL)","9531570"
"ZBTB16","RARA","acute promyelocytic leukemia (APL)","9531570"
"PML","RARA","acute promyelocytic leukemia (APL)","15748426"
"NPM1","RARA","acute promyelocytic leukemia (APL)","15748426"
"RUNX1","RUNX1T1","acute promyelocytic leukemia (APL)","15748426"
"NPM1","RARA","Acute promyelocytic leukemia (APL)","17988991"
"PML","RARA","Acute promyelocytic leukemia (APL)","17988991"
"RUNX1","RUNX1T1","acute myelogenous leukemia(AML)","8867720"
"PML","RARA","acute myelogenous leukemia(AML)","8867720"
"RUNX1","MECOM","acute myelogenous leukemia(AML)","8867720"
"PML","RARA","Acute promyelocytic leukemia (APL)","18558288"
"BCR","ABL1","chronic myeloid leukemia, acute lymphoblastic leukemia","16228048"
"CBFB","MYH11","chronic myeloid leukemia, acute lymphoblastic leukemia","16228048"
"PML","RARA","chronic myeloid leukemia, acute lymphoblastic leukemia","16228048"
"ETV6","RUNX1","acute myeloid leukemia (AML)","16630339"
"CBFB","MYH11","acute myeloid leukemia (AML)","16630339"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","16630339"
"MLL","MLLT4","acute myeloid leukemia (AML)","16630339"
"MLL","MLLT3","acute myeloid leukemia (AML)","16630339"
"MLL","MLLT10","acute myeloid leukemia (AML)","16630339"
"PML","RARA","leukemia","17459201"
"ZBTB16","RARA","leukemia","17459201"
"BCR","ABL1","leukemia","17459201"
"MLL","EFNA5","leukemia","17459201"
"MLL","MLLT4","leukemia","17459201"
"MLL","MLLT10","leukemia","17459201"
"CBFB","MYH11","leukemia","17459201"
"FUS","ERG","leukemia","17459201"
"ETV6","RUNX1","leukemia","17459201"
"MYST3","OPN1LW","leukemia","17459201"
"AFF3","AFF1","leukemia","17459201"
"FIP1L1","PDGFRA","leukemia","17459201"
"PRKAR1A","RARA","acute promyelocytic leukemia","17712046"
"PML","RARA","acute promyelocytic leukemia","17712046"
"ETV6","RUNX1","childhood acute lymphoblastic leukemia","9372085"
"PML","RARA","childhood acute lymphoblastic leukemia","9372085"
"BCR","ABL1","childhood acute lymphoblastic leukemia","9372085"
"BCR","ABL1","leukemia","16251025"
"PML","RARA","leukemia","16251025"
"RUNX1","RUNX1T1","leukemia","16251025"
"RUNX1","RUNX1T1","acute promyelocytic leukemia (APL)","10552940"
"PML","RARA","acute promyelocytic leukemia (APL)","10552940"
"MYST3","CREBBP","Acute myeloid leukemia (AML)","16849538"
"PML","RARA","Acute myeloid leukemia (AML)","16849538"
"RUNX1","RUNX1T1","Acute myeloid leukemia (AML)","16849538"
"CBFB","MYH11","Acute myeloid leukemia (AML)","16849538"
"TCF3","HLF",,"10518215"
"ZBTB16","RARA","acute promyelocytic leukemia (APL)","16403252"
"DDX6","SFRS11",,"8543178"
"ETV6","RUNX1","acute lymphoblastic leukemia (ALL)","11960347"
"TCF3","PBX1","pediatric preBcell leukemia","7910944"
"DEK","NUP214","acute myeloid leukemia","8895527"
"SET","NUP214","acute myeloid leukemia","8895527"
"STIL","TAL1",,"8350619"
"SYT1","SSX2","Intraneural monophasic synovial sarcoma","11224869"
"SYT1","SSX4","synovial sarcoma","11368913"
"SYT1","SSX1",,"10446966"
"SYT1","SSX2",,"10446966"
"SYT1","SSX1","synovial sarcoma","16247461"
"SYT1","SSX2","synovial sarcoma","16247461"
"SYT1","SSX1","synovial sarcoma","10398111"
"SYT1","SSX2","synovial sarcoma","10398111"
"SYT1","SSX2",,"15330802"
"SYT1","SSX1","tumour cell proliferation","12173050"
"SYT1","SSX2","tumour cell proliferation","12173050"
"EWSR1","FLII","Extraskeletal Ewing's sarcoma","11823984"
"EWSR1","ERG","Extraskeletal Ewing's sarcoma","11823984"
"RUNX1","RUNX1T1","Acute myeloid leukemia (AML)","18206543"
"PML","RARA","acute promyelocytic leukemia(APL)","8605120"
"ZBTB16","RARA","acute promyelocytic leukemia(APL)","8605120"
"TCF3","PBX1","severalleukaemia","10602411"
"MLL","AFF1","severalleukaemia","10602411"
"RUNX1","RUNX1T1","severalleukaemia","10602411"
"BCR","ABL1","severalleukaemia","10602411"
"ETV6","RUNX1","severalleukaemia","10602411"
"PML","RARA","severalleukaemia","10602411"
"CBFB","MYH11","severalleukaemia","10602411"
"STIL","TAL1","severalleukaemia","10602411"
"EWSR1","CHN1","extraskeletal myxoid chondrosarcoma","16220270"
"TAF15","CHN1","extraskeletal myxoid chondrosarcoma","16220270"
"CPB2","NUP214","acute myeloid leukemia","17296573"
"ETV6","RUNX1","Acute leukemia","17581672"
"TCF3","PBX1","Acute leukemia","17581672"
"PML","RARA","Acute leukemia","17581672"
"RUNX1","RUNX1T1","Acute leukemia","17581672"
"BCR","ABL1",,"19194200"
"STIL","TAL1",,"19194200"
"STIL","TLX3",,"19194200"
"BCR","ABL1",,"16209886"
"ETV6","RUNX1",,"16209886"
"TCF3","PBX1",,"19194200"
"MLL","AFF1",,"19194200"
"ETV6","RUNX1",,"19194200"
"RUNX1","RUNX1T1",,"19194200"
"PML","RARA",,"19194200"
"PML","RARA","childhood acute myeloid leukemia (AML)","11753612"
"CBFB","MYH11","childhood acute myeloid leukemia (AML)","11753612"
"MLL","AFF1","childhood acute myeloid leukemia (AML)","11753612"
"RUNX1","RUNX1T1","childhood acute myeloid leukemia (AML)","11753612"
"ALK","NPM1","Anaplastic large cell lymphoma (ALCL)","10556217"
"TFG","ALK","Anaplastic large cell lymphoma (ALCL)","10556217"
"NPM1","ALK","anaplastic large cell lymphoma","16984370"
"NPM1","MLF1","anaplastic large cell lymphoma","16984370"
"NPM1","RARA","anaplastic large cell lymphoma","16984370"
"FIP1L1","PDGFRA","myelodysplastic syndromes (MDS)","18445043"
"RUNX1","RUNX1T1","myelodysplastic syndromes (MDS)","18445043"
"PML","RARA","myelodysplastic syndromes (MDS)","18445043"
"BCR","ABL1","myelodysplastic syndromes (MDS)","18445043"
"CBFB","MYH11","myelodysplastic syndromes (MDS)","18445043"
"EWSR1","DDIT3","myxoid liposarcoma","16884691"
"FUS","DDIT3","myxoid liposarcoma","16884691"
"FUS","DDIT3","oral liposarcoma","16414544"
"TMPRSS2","ERG","prostate cancer","18385909"
"TMPRSS2","ETV1","prostate cancer","18385909"
"TMPRSS2","ERG","prostate carcinomas","17032499"
"TMPRSS2","ETV1","prostate carcinomas","17032499"
"NPM1","ALK","anaplastic large cell lymphoma (ALCL)","16651537"
"TPM3","ALK","anaplastic large cell lymphoma (ALCL)","16651537"
"TPM3","ALK","Inflammatory myofibroblastic tumor (IMT)","16984614"
"TPM4","ALK","Inflammatory myofibroblastic tumor (IMT)","16984614"
"RLF","MYCL1",,"8545128"
"BCR","ABL1","acute lymphoblastic leukemia (ALL)","8640718"
"MLLT10","SNAP91","acute lymphoblastic leukemia (ALL)","8643484"
"IGH@","BCL2","follicular lymphoma","11911399"
"BCL2","HFE2","Hodgkin's disease (HD)","7790991"
"DEK","NUP214","acute myelogenous leukemia (AML)","7502630"
"EWSR1","CHN1","myxoid chondrosarcoma.","8570200"
"DEK","NUP214","acute myeloid leukemias (AMLs)","10908574"
"BCL2","HFE2","Follicle center cell lymphoma","16680749"
"BCR","ABL1","chronic myeloid leukaemia (CML)","19067742"
"TMPRSS2","ERG","prostate cancer","17671502"
"NUP98","IQCG","acute Tlymphoid/myeloid leukemia","18084320"
"BCR","ABL1","Chronic myeloid leukemia (CML)","16631477"
"BCR","ABL1",,"17638851"
"CBFB","MYH11","acute myeloid leukemia (AML)","18328953"
"RUNX1","RUNX1T1",,"8585955"
"RUNX1","MECOM","chronic myeloid leukemia (CML)","16875579"
"BCR","ABL1","chronic myeloid leukemia (CML)","16875579"
"CCND1","IGH@","Mantle cell lymphoma (MCL)","10233383"
"CCND1","CCND1","mantle cell lymphoma (MCL)","8142653"
"BCL2","HFE2",,"9031112"
"BCR","ABL1","chronic myeloid leukemia","15377489"
"FIP1L1","PDGFRA","Idiopathic hypereosinophilic syndrome (HES)","16682077"
"NUP98","HOXD13","myelodysplastic syndrome, acute myelogenous leukemia, chronic myeloid leukemia","17377591"
"MLL","AFF1","acute lymphoblastic leukemia(ALL)","10687723"
"FIP1L1","PDGFRA","chronic eosinophilic leukemia(CEL)","17215855"
"BCR","ABL1",,"16960151"
"RUNX1","RUNX1T1","Primary granulocytic sarcoma (GS)","16207593"
"MLL","MLLT4",,"8904886"
"PAX3","FOXO1",,"18788888"
"MLL","AFF1","acute leukaemia","16433901"
"MLL","AFF1","acute leukemia","8378328"
"ELF4","ERG","acute myeloid leukemia","16303180"
"EWSR1","FLII","Ewing sarcoma","17525681"
"EWSR1","FLII","Ewing tumors","9121764"
"BCR","ABL1","chronic myeloid leukemia","16129041"
"BCR","ABL1","CML","16129042"
"SET","NUP214","acute undifferentiated leukemia","15239126"
"ALK","ROS1","Lung Cancer","18083107"
"CBFB","MYH11","Granulocytic sarcoma (GS)","16504290"
"GSTP1","CAT",,"8391258"
"SYT1","SSX1","Synovial sarcoma","18642280"
"MLL","MLLT3","acute myeloid leukemia (AML)","18931459"
"TMPRSS2","ERG","prostate cancer","16254181"
"PAX3","FOXO1","?","12865925"
"PAX7","FOXO1","?","12865925"
"CRTC1","MAML2","mucoepidermoid carcinoma (MEC), Warthin tumors (WT)","18206539"
"SYT1","SSX1","Synovial sarcoma","16849535"
"SYT1","SSX2","monophasic synovial sarcoma","7951320"
"FIP1L1","PDGFRA","chronic eosinophilic leukemia(CEL), Systemic mastocytosis (SM)","16406018"
"TCF3","PBX1","acute lymphoblastic leukaemia (ALL)","8616031"
"TCF3","PBX1","preB acute lymphoblastic leukemia, acute lymphoblastic leukemia (ALL)","8412323"
"SNAP91","MLLT10","acute lymphoblastic leukaemia (ALL) and acute myeloid leukaemia (AML)","10554802"
"SNAP91","MLLT10","acute leukemia","18094714"
"BIRC3","MALT1","malt lymphoma","11262391"
"BCL2","TSPO","follicular nonHodgkin's lymphomas (FL), diffuse large cell lymphomas (DLCL)","8713288"
"IGH@","BCL2","follicular lymphoma ","11172955"
"PAX3","FOXO1","rhabdomyosarcoma tumours","11556833"
"NPM1","ALK","anaplastic large cell lymphoma","11215285"
"PML","RARA","acute promyelocytic leukemia (APL)","17284374"
"PML","RARA","acute promyelocytic leukemia (APL)","16077971"
"RHOH","BCL6","nonHodgkin's lymphomas (NHL)","7784061"
"BCR","ABL1",,"18575724"
"IRF4","IRF4","nonHodgkin's lymphoma (NHL), diffuse large B cell lymphoma (DLBCL)","10720141"
"SLC25A19","HPR","human prostatic adenocarcinoma","8631004"
"DEK","NUP214","acute myeloid leukemia","7753551"
"BCR","ABL1","acute myeloid leukemia(AML)","7723398"
"ZMYM2","FGFR1","Tcell nonHodgkin's lymphoma","10643154"
"MYST3","EP300","acute monocytic leukemia","11243405"
"MLL","MLLT3","acute myeloid leukemia (AML)","16450356"
"BCR","ABL1","Blineage acute lymphoblastic leukemia(Blineage ALL)","12116073"
"RUNX1","RUNX1T1",,"9234595"
"BCR","ABL1","chronic myeloid leukaemia (CML), ALL and AML","17361217"
"EWSR1","FLII",,"18783137"
"PAX8","PPARG","follicular tumor","16086077"
"PAX8","PPARG","follicular thyroid cancer","16187907"
"TLX3","TLX3",,"16926283"
"TMPRSS2","ETV4","prostate cancer","16585160"
"BCR","ABL1",,"19136943"
"PRKG2","PDGFRB","myeloproliferative disease","18166785"
"FUS","DDIT3","myxoid liposarcoma (MLS)","18091394"
"EWSR1","POU5F1","bone tumor","15729702"
"BCL2","IGH@",,"18648008"
"RUNX1","RUNX1T1","acute myeloid leukemia","15168592"
"BCR","ABL1","Philadelphia chromosomepositive leukemias","12755554"
"SNORA73A","UBE4B","cervical carcinoma","1325704"
"EWSR1","FLII","Ewing's sarcoma","15045938"
"FUS","DDIT3","Myxoid liposarcoma","15167010"
"RUNX1","RUNX1T1","acute myeloid leukemia","15236320"
"ABL1","BCR","chronic myelogenous leukemia(CML)","11976731"
"ABL1","BCR","chronic myelogenous leukemia (CML)","9710720"
"ABL1","BCR","chronic myelogenous leukemia","9648560"
"ABL1","BCR","acute lymphoblastic leukemia","8490164"
"ABL1","BCR","chronic myeloid leukemia","8417787"
"ABL1","BCR","positive chronic myeloid leukemia (positiveCML)","11979553"
"ACTB","GLI1",,"17361217"
"MLLT3","MLL","Acute leukemia","15291362"
"MLLT3","MLL","acute monoblastic leukemia","15182340"
"AFF3","BCL2","follicular lymphoma","18622426"
"AKAP9","BRAF","Thyroid carcinoma","17361217"
"ALK","NPM1","Anaplastic large cell lymphomas(ALCL)","15680399"
"ALK","NPM1","neuroblastoma, glioblastoma, Ewing sarcoma, retinoblastomas","12115586"
"ALK","NPM1","large cell lymphomas","11280786"
"ALK","NPM1","anaplastic large cell lymphoma","9638979"
"ALK","NPM1","Ki1 lymphoma ","8633037"
"ALK","NPM1","Hodgkin's disease","8683377"
"ALK","NPM1","anaplastic large cell lymphoma (ALCL)","8558920"
"ALK","NPM1","CD30+ lymphomas","7856744"
"ALK","EML4","Lung Cancer","18083107"
"ALK","NPM1","Lung Cancer","18083107"
"ALK","TFG","Lung Cancer","18083107"
"AMD1","GAPDH","HCT116","17568001"
"RUNX1","RUNX1","myeloid leukemia","9209363"
"RUNX1","RUNX1T1","acute myeloid leukemia","8575770"
"RUNX1","CDR1","acute myelogenous leukemia ","1423235"
"RUNX1","RUNX1T1","leukemia","19334541"
"RUNX1","RUNX1T1","Acute myeloid leukemia","19100512"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","18952841"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","18469864"
"RUNX1","RUNX1T1","leukemia","18416028"
"RUNX1","RUNX1T1",,"18264136"
"RUNX1","RUNX1T1","myeloid leukemia","18258796"
"RUNX1","RUNX1T1","Acute myeloid leukemia (AML)","18206229"
"RUNX1","RUNX1T1","acute myelogenous leukemia (AML)","18156164"
"RUNX1","RUNX1T1","acute myelogenous leukemia (AML)","18037406"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17989718"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17980910"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17560011"
"RUNX1","RUNX1T1","Acute myeloid leukemia","17412887"
"RUNX1","RUNX1T1",,"17367753"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17252013"
"RUNX1","RUNX1T1",,"17203951"
"RUNX1","RUNX1T1","leukemia","17197431"
"RUNX1","RUNX1T1","acute myeloid leukemia","17058450"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","16892037"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","16803958"
