object	size
journalFiles:The Veterinary Record	13
journalFiles:Alzheimer's Research & Therapy	92
journalFiles:Journal of Parasitology Research	129
journalFiles:Cephalalgia	5
journalBytes:Electrophoresis	68630
journalBytes:Quality of Life Research	5970514
journalBytes:Nutrition Research and Practice	11633233
journalFiles:Nano Today	1
journalBytes:The International Journal of Social Psychiatry	55848
journalBytes:Current Rheumatology Reports	774421
journalFiles:Indian Journal of Occupational and Environmental Medicine	169
journalFiles:Epigenetics & Chromatin	432
journalBytes:Current Respiratory Medicine Reviews	32250
journalFiles:Journal of Biological Engineering	147
journalFiles:Frontiers in Neurology	357
journalBytes:Journal of Toxicology and Environmental Health. Part B, Critical Reviews	1420356
journalFiles:Computational Geometry	2
journalBytes:Journal of the International AIDS Society	15454645
journalFiles:EJNMMI Research	142
journalBytes:Redox Report	25067
journalBytes:Developmental Neuropsychology	64162
journalBytes:Journal of Surgical Case Reports	133891
journalBytes:Acta Theriologica	673673
journalFiles:Amino Acids	79
journalFiles:Journal of Lipid Research	45
journalFiles:Tropical Plant Biology	10
journalFiles:International Journal of Non-Linear Mechanics	1
journalBytes:Journal of Pain & Palliative Care Pharmacotherapy	45273
journalFiles:Comparative Hepatology	154
journalBytes:Quality & Safety in Health Care	1150493
journalFiles:The European Journal of Neuroscience	149
journalFiles:International Journal of Vascular Medicine	105
journalBytes:The Libyan Journal of Medicine	5085694
journalFiles:Clinical Kidney Journal	6
journalFiles:Medical Gas Research	69
journalFiles:Molecular Ecology	45
journalBytes:Mucosal immunology	2560709
journalBytes:International Archives of Allergy and Immunology	43570
journalFiles:Cell Communication and Signaling	11
journalBytes:Movement Disorders	210741
journalBytes:European Journal of Histochemistry : EJH	5062125
journalFiles:Korean Journal of Radiology	998
journalBytes:International Journal of Oncology	5707336
journalBytes:Injury	142593
journalBytes:Journal of Medical Systems	373562
journalFiles:The Journal of Behavioral Health Services & Research	3
journalFiles:Drugs in R&d	86
journalBytes:BMC Women's Health	12023775
journalBytes:Cancer Medicine	1557500
journalBytes:Clinical Epigenetics	4585886
journalBytes:Nature nanotechnology	1692744
journalBytes:Journal of Molecular Neuroscience	1890721
journalBytes:Oncoimmunology	9115252
journalFiles:OncoTargets and therapy	155
journalFiles:International Journal of Environmental Health Research	1
journalFiles:Channels	24
journalBytes:Journal of Cachexia, Sarcopenia and Muscle	2311364
journalFiles:Acta Theriologica	19
journalBytes:International Journal of Nursing Studies	52834
journalBytes:Ecological Entomology	113477
journalFiles:Head & Neck Oncology	226
journalFiles:International Journal of Nursing Studies	1
journalFiles:PPAR Research	421
journalFiles:Nature communications	83
journalBytes:Nanoethics	1415923
journalBytes:Sports Health	6439400
journalFiles:Cardiovascular Psychiatry and Neurology	79
journalFiles:Journal of Visualization	1
journalBytes:International Immunopharmacology	40686
journalBytes:Veterinary Anaesthesia and Analgesia	34290
journalBytes:Cancer Immunology, Immunotherapy	2890076
journalFiles:European Journal of Cardio-Thoracic Surgery	1
journalBytes:Journal of Business and Psychology	625060
journalFiles:Croatian Medical Journal	268
journalBytes:Clinical Social Work Journal	40968
journalBytes:Phlebology	74793
journalBytes:BMC Pharmacology	11030573
journalFiles:Human Resources for Health	414
journalBytes:Current HIV/AIDS Reports	476320
journalBytes:The Proceedings of the Nutrition Society	110698
journalBytes:The Open Medicinal Chemistry Journal	1649362
journalFiles:Current Cancer Drug Targets	3
journalFiles:Cytometry	10
journalBytes:Social Studies of Science	77873
journalBytes:Pharmacy World & Science	107490
journalBytes:Journal of Clinical Medicine Research	5531249
journalBytes:Head &  Neck Oncology	81415
journalFiles:Dermatology Research and Practice	126
journalFiles:Scandinavian Journal of Food & Nutrition	1
journalBytes:Child & Youth Care Forum	526654
journalFiles:Journal of HIV/AIDS & Social Services	1
journalBytes:Current Microbiology	828897
journalFiles:Journal of the American College of Cardiology	2
journalBytes:Clinics in Orthopedic Surgery	4260351
journalBytes:Archives of Clinical Neuropsychology	5574
journalBytes:Journal of Ayurveda and Integrative Medicine	2947360
journalFiles:International Journal of Pediatric Otorhinolaryngology	1
journalFiles:Pathology Oncology Research	14
journalBytes:Bju International	72103
articleTypeFiles:meeting-report	1550
journalFiles:Journal of Cellular and Molecular Medicine	13
journalBytes:Public Health Ethics	434058
journalBytes:Origins of Life and Evolution of the Biosphere	1320965
journalFiles:Paediatric and Perinatal Epidemiology	8
journalBytes:Planetary and Space Science	187486
journalFiles:Journal of Thrombosis and Haemostasis	27
journalFiles:European Journal of Neurology	4
journalBytes:Journal of Cellular Biochemistry	220683
journalFiles:Current Pain and Headache Reports	14
journalFiles:Journal of Young Pharmacists : JYP	188
journalFiles:Computational and Mathematical Methods in Medicine	283
journalBytes:BMC Nephrology	24366803
journalFiles:Medical Journal of the Islamic Republic of Iran	45
articleCountWithAbstract_2010	63309
articleCountWithAbstract_2011	85261
articleCountWithAbstract_2012	105275
articleCountWithAbstract_2013	18314
journalBytes:Journal of Epidemiology and Community Health	2739523
journalBytes:F1000 Medicine Reports	5500897
journalBytes:Molecular Oncology	256488
journalBytes:Clinical Physiology and Functional Imaging	345869
journalFiles:Indian Journal of Orthopaedics	660
journalBytes:Frontiers in Psychiatry	11272579
journalFiles:Gene Expression Patterns	2
journalBytes:Reviews on Recent Clinical Trials	25841
journalFiles:Animal Genetics	77
journalFiles:Conflict and Health	115
journalBytes:Cytoskeleton (Hoboken, N.j.)	586961
journalBytes:Cell Communication and Signaling	482587
journalFiles:Diseases of the Colon and Rectum	12
journalFiles:Philosophy, Ethics, and Humanities in Medicine	25
journalBytes:Notes and records of the Royal Society of London	113322
journalFiles:Indian Journal of Dermatology	735
journalBytes:Stem Cell Research	92308
journalBytes:Comparative Clinical Pathology	179765
journalBytes:The Febs Journal	2624648
journalBytes:Sleep and Biological Rhythms	27107
journalBytes:Journal of Cytology / Indian Academy of Cytologists	3037931
journalFiles:Journal of Theoretical Biology	5
journalFiles:Blood Cancer Journal	247
journalBytes:Bioprocess and Biosystems Engineering	1400239
journalFiles:Endothelium 	1
journalFiles:Behavior Genetics	64
journalFiles:Pharmacognosy Magazine	167
articleTypeFiles:case-report 	1
journalBytes:Journal of Cell Science	1365992
journalBytes:American Journal of Cardiovascular Drugs	116032
journalFiles:Nephrology Dialysis Transplantation	133
journalBytes:Reproduction (Cambridge, England)	1163710
journalFiles:Cerebellum (London, England)	37
journalFiles:The Open Biomedical Engineering Journal	92
journalBytes:Frontiers in Physiology	40255299
journalBytes:Journal of Autoimmunity	266315
journalBytes:Biomarkers 	34621
journalFiles:Infection	20
journalBytes:European Journal of Medical Research	9963405
journalBytes:Nutrition Reviews	180076
journalBytes:Health Policy (Amsterdam, Netherlands)	91095
articleTypeFiles:correction 	1
journalFiles:Complementary Therapies in Clinical Practice	1
journalBytes:Current Pharmacogenomics and Personalized Medicine	325908
journalBytes:European Journal of Operational Research	65843
journalBytes:Traffic (Copenhagen, Denmark)	3430257
journalBytes:BMC Cancer	251163064
journalBytes:Expert Opinion on Drug Metabolism & Toxicology	74771
journalFiles:The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	4
journalFiles:Cell Stress & Chaperones	30
journalBytes:The ISME journal	263115
journalBytes:Diabetes, Obesity & Metabolism	3620657
journalFiles:Journal of Biopharmaceutical Statistics	2
journalFiles:Connective Tissue Research	3
journalFiles:Neurocase	2
journalBytes:Journal of Pathology Informatics	4349069
journalBytes:Physica. C, Superconductivity	21777
journalBytes:Annals of the Rheumatic Diseases	8814223
journalFiles:Asia Pacific Allergy	81
journalFiles:PLoS Clinical Trials	207
journalBytes:Asian Journal of Transfusion Science	3546330
journalFiles:Marine Drugs	724
journalBytes:Archives of Biochemistry and Biophysics	424454
journalFiles:Breeding Science	129
journalFiles:Iranian Journal of Parasitology	159
journalBytes:Psychological Research	2475978
journalBytes:Preventive Veterinary Medicine	363792
journalFiles:Oral Diseases	2
journalBytes:Current Allergy and Asthma Reports	698675
journalFiles:Lung India : Official Organ of Indian Chest Society	396
journalBytes:GMS Krankenhaushygiene Interdisziplinar	1440990
journalFiles:Ecology and Evolution	634
journalBytes:Epidemiologic Perspectives & Innovations	712122
journalBytes:Connective Tissue Research	97463
journalBytes:International Journal of Andrology	731030
journalFiles:The Journal of Gene Medicine	2
journalFiles:Journal of Medical Physics / Association of Medical Physicists of India	248
journalFiles:Breast Cancer : Basic and Clinical Research	81
journalFiles:Genes to Cells	43
journalBytes:Journal of Biological Rhythms	92635
journalBytes:Journal of Organizational Behavior	92936
journalFiles:Journal of Neural Transplantation & Plasticity	193
journalBytes:Iranian Journal of Public Health	7932728
journalFiles:Diabetes Research and Clinical Practice	1
journalFiles:Cardiovascular Therapeutics	6
journalBytes:Frontiers in Evolutionary Neuroscience	1944668
journalBytes:Tissue Antigens	567215
journalBytes:Cardiovascular & Hematological Agents in Medicinal Chemistry	104903
journalBytes:Journal of the American Medical Informatics Association : JAMIA	2412722
journalBytes:Journal of Chemical Ecology	3574495
journalBytes:Linear Algebra and Its Applications	3870
journalBytes:Molecular Genetics and Metabolism	346176
journalFiles:Journal of Burns and Wounds	34
journalFiles:European Journal of Medicinal Chemistry	2
journalFiles:European Journal of Hospital Pharmacy. Science and Practice	1
journalBytes:Ageing and Society	113345
journalFiles:American Journal of Physiology - Heart and Circulatory Physiology	19
journalBytes:Discrete Mathematics	417726
journalBytes:Pediatric Reports	2152475
journalFiles:Cardiovascular Engineering and Technology	4
journalFiles:Mammalian Genome	138
journalBytes:Journal of Physiology, Paris	63715
journalBytes:Indian Journal of Psychiatry	42903649
journalBytes:Injury Prevention	664198
journalBytes:Dermatology and Therapy : Research, Treatment and Aesthetic Interventions in Dermatology	485356
journalBytes:Spermatogenesis	1677245
journalFiles:Journal of Invertebrate Pathology	1
journalBytes:i-Perception	4548560
journalBytes:Journal of Bone and Mineral Metabolism	118252
journalFiles:Nutrition & Metabolism	628
journalFiles:The Journal of Experimental Biology	3
journalBytes:Asian Spine Journal	3715869
journalFiles:Clinical Medicine. Circulatory, Respiratory and Pulmonary Medicine	6
journalFiles:Genome Integrity	46
journalBytes:Economic Botany	267215
journalFiles:Immunogenetics	141
journalFiles:Brain and Cognition	2
journalFiles:3 Biotech	95
journalBytes:Implementation science : IS	3068946
journalBytes:Behavioural Processes	153272
journalBytes:Annals of Human Biology	67765
articleTypeFiles:in-brief	1584
