ISSN	impact
1687-8108	1.158
1862-5347	0.562
1687-1847	0.845
1079-9389	0.727
0169-409X	11.502
0065-2504	5.333
1582-7445	0.555
1614-6832	 
1474-0346	1.489
1438-1656	1.185
0965-9978	1.092
0065-2598	1.093
1616-301X	10.179
1615-715X	0.338
0065-2687	0.889
1382-4996	2.089
0065-2725	1.818
1687-7357	4.522
0065-275X	 
1076-5670	0.491
0065-2776	5.762
0898-8838	3.048
0065-2806	2.842
0065-2881	2.043
0935-9648	13.877
0882-7958	0.066
1687-6822	0.415
0001-8708	1.177
1930-5346	0.462
1896-1126	0.952
0147-4863	 
0065-2911	9.875
0091-3952	 
1536-1365	0.644
0161-9268	0.969
0149-9483	 
0065-3055	7
0065-308X	4.39
0001-8732	37
0065-3160	1.923
1043-4046	1.547
0065-3195	3.89
0730-6679	0.875
0921-8831	1.612
1876-1623	1.833
0065-3276	2.275
0169-1864	0.571
1527-7941	1.438
0273-1177	1.178
1816-112X	0.339
1369-4332	0.324
0065-3454	3.367
1615-4150	6.048
1095-0761	0.855
0741-238X	2.105
0972-5768	0.328
0065-3527	3.971
0309-1708	2.449
1875-9637	2.179
0001-9054	0.511
0393-5965	1.515
0001-9240	0.482
1680-8584	2.827
0278-6826	2.667
1270-9638	0.983
0364-216X	1.407
1090-820X	1.469
1434-8411	0.588
0001-9704	0.138
1021-3589	0.47
1680-6905	0.492
1681-5556	0.432
1608-5914	0.471
0141-6707	0.655
2156-4574	0.714
1814-232X	0.98
1996-0808	0.539
1996-0816	0.839
1994-8220	1.068
1022-0119	0.6
0189-6016	0.707
1816-8396	0.25
1562-7020	0.9
0161-9152	3.948
0002-0729	3.09
1568-1637	6.174
0096-140X	2.63
1474-9718	6.265
1594-0667	1.552
1368-5538	1.518
1360-7863	1.368
1945-4589	5.127
0169-5150	0.769
0167-8809	3.004
1459-6067	0.923
1461-9555	1.596
0168-1923	3.389
0002-1482	0.312
0889-048X	1.54
1671-2927	0.449
0308-521X	2.899
0378-3774	1.998
1663-7852	0.138
1022-663X	0.314
0303-1853	0.653
0742-4477	0.672
1722-6996	0.225
0002-1857	0.25
1405-3195	0.374
0167-4366	1.378
0002-1962	1.794
1774-0746	3.33
0921-7126	0.5
0890-0604	0.786
0738-4602	0.808
0001-1452	1.057
0001-1541	2.261
0269-9370	6.245
1087-2914	2.411
0889-2229	2.246
1139-6121	3.512
1748-8842	0.195
1608-5906	0.6
0302-4350	0.318
0341-051X	0.083
0001-7868	0.267
0311-5518	0.926
0741-8329	2.468
0735-0414	2.946
0145-6008	3.343
0002-5100	16.091
1980-0436	0.381
1005-3867	0.237
1472-2739	0.558
0002-5232	0.359
1937-0652	0.539
1386-923X	0.595
0002-5240	0.43
1748-7188	1.352
0178-4617	0.604
0269-2813	3.769
0971-4693	0.846
0301-0546	1.043
0344-5062	0.258
0105-4538	6.271
2092-7355	1.913
1088-5412	2.17
0838-1925	 
0002-5852	0.25
1664-2201	 
1089-5159	3.55
0893-0341	2.811
1552-5260	6.373
0002-7626	0.08
0002-7685	0.133
0002-7812	0.522
0002-8444	0.407
0002-8703	4.651
0002-9092	1.169
1533-3175	1.453
1059-0889	0.867
1526-5161	4.083
0002-9122	2.664
0002-9149	3.368
1175-3277	1.77
0192-415X	1.979
1175-0561	1.708
0002-9165	6.669
0277-3732	2.005
0002-9173	2.598
1062-3264	1.656
0894-8275	0.757
0193-1091	1.197
0735-6757	1.976
0002-9254	1.826
0002-9262	5.216
0195-7910	0.883
0002-9270	7.282
1064-7481	3.638
1543-5946	2.671
1079-2082	1.962
0361-8609	4.671
1049-9091	1.153
1042-0533	2.267
0002-9297	10.603
0895-7061	3.181
0271-3586	1.625
0196-6553	2.396
0272-6386	5.434
1088-0224	2.458
0002-9327	1.057
0002-9343	5.43
1552-4825	2.391
1552-4841	3.705
1552-4868	4.058
1062-8606	1.638
0002-9629	1.391
0250-8095	2.539
0195-6108	2.928
0002-936X	1.119
0002-9378	3.468
0002-9394	4.223
0889-5406	1.381
0002-9432	1.291
0196-0709	0.87
0002-9440	4.89
0735-1631	1.316
0002-9459	1.205
0002-9505	0.729
0002-9483	2.824
0894-9115	1.581
0363-6143	3.536
0193-1849	4.746
0193-1857	3.431
0363-6135	3.708
1040-0605	3.662
0363-6119	3.336
1931-857X	3.682
1099-209X	1.234
0749-3797	4.044
0275-2565	2.221
0002-953X	12.539
0090-0036	3.926
1046-7408	3.05
1044-1549	5.125
1073-449X	11.08
1945-8924	2.302
0361-803X	2.775
0002-9599	2.716
1058-0360	2.034
0363-5465	3.792
0002-9610	2.776
0147-5185	4.352
1075-2765	1.487
1600-6135	6.394
0002-9637	2.592
0002-9645	1.269
0044-7749	0.167
0740-2783	1.219
0003-0031	0.619
0003-004X	2.169
0003-0082	1.882
0003-0147	4.725
0003-0996	0.938
0003-1305	0.96
0003-1348	1.285
0084-5841	0.054
0044-7447	2.025
0002-6980	0.444
0002-7014	0.986
0939-4451	3.248
0173-5373	1.056
1350-6129	2.66
1748-2968	3.091
0001-3765	1.094
0365-0596	0.554
0211-1322	0.886
1695-4033	0.77
0212-9728	0.568
1697-4271	0.14
1137-6627	0.318
1224-1784	0.052
1221-8421	0.25
1302-8723	0.439
1302-6631	0.136
1075-9964	2.409
0310-057X	1.279
0003-2409	2.958
0003-2417	0.987
0219-5305	1.14
1618-2642	3.778
0003-2697	2.996
2210-7177	0.917
0003-2700	5.856
0003-2670	4.555
0003-2719	1.016
0133-3852	0.243
1759-9660	1.547
1948-206X	1.172
0884-6812	0.413
0910-6340	1.255
0925-1030	0.592
0003-2654	4.23
0939-2661	0.413
0170-5334	0.862
0340-2096	0.899
1932-8486	1.473
1447-6959	0.833
0718-7092	0.718
0303-4569	1.546
0003-2999	3.286
0003-3022	5.359
1433-7851	13.455
0969-6970	6.063
0003-3197	1.511
0003-3219	1.207
0003-3472	3.493
1570-7555	0.721
1049-5398	0.927
1976-8354	0.222
1435-9448	3.089
1367-9430	2.931
0377-8401	1.691
0268-9146	2.403
0972-2963	0.323
1836-0939	0.986
0378-4320	1.75
1344-3941	0.857
0860-4037	0.553
0962-7286	1.135
1751-7311	1.744
1300-0861	0.192
0304-4602	1.245
1239-629X	0.675
1232-1966	2.311
1081-1206	2.833
0940-9602	1.861
1642-3402	0.389
0003-4746	2.179
1050-5164	1.091
1932-6157	1.581
0003-3898	0.343
0090-6964	2.368
0003-3847	1.014
0305-7364	4.03
0003-3928	0.278
0097-4463	0.955
0151-9107	0.235
0294-1260	0.41
0004-5632	2.17
0091-7370	0.956
1040-1237	1.49
0218-0006	0.324
1013-9087	0.531
0151-9638	0.716
1092-9134	0.875
0196-0644	4.133
0003-4266	0.741
0013-8746	1.317
1047-2797	3.215
1544-1709	5.355
1286-4560	1.788
0750-7658	0.838
0992-7689	1.842
1593-5213	0.567
0260-3055	1.8
0232-704X	0.714
0939-5555	2.615
1424-0637	1.211
1665-2681	1.811
0301-4460	1.975
0003-4800	2.565
0373-0956	0.55
0294-1449	1.271
0246-0203	0.897
0020-3157	0.857
0021-2571	0.941
0972-2327	0.928
0003-4819	16.733
0003-469X	0.231
0003-4088	0.93
0373-3114	0.838
0003-486X	2.928
1012-2443	0.358
0785-3890	3.516
0003-4118	0.033
0003-4487	0.169
1590-4261	0.689
0026-6493	1.828
0364-5134	11.089
1082-720X	1.098
0306-4549	0.905
0914-7187	1.502
0250-6807	2.257
0077-8923	3.155
0003-4878	1.949
0923-7534	6.425
0254-5330	0.84
0003-4894	1.048
0753-3969	1
0242-6498	0.247
1060-0280	2.126
0003-3804	0.841
0003-4916	2.857
0003-4169	0.25
0148-7043	1.318
0066-2216	0.439
0091-1798	1.789
0168-0072	0.45
0003-4967	8.727
0035-8843	1.231
0256-4947	1.071
0003-3790	0.417
0012-9593	1.46
0391-173X	0.695
0037-9271	0.537
0208-9068	0.423
0090-5364	3.03
0003-4932	7.492
1068-9265	4.166
0003-4347	0.633
1341-1098	0.695
1817-1737	1.617
0003-4975	3.741
1425-9524	2.02
0003-4983	1.429
0003-4401	 
0890-5096	1.035
0003-4541	0.482
0003-455X	1.539
0065-7743	1.714
1936-1327	9.048
0066-4146	26.452
0066-4154	34.317
1523-9829	12.214
1936-122X	13.574
1081-0706	15.836
1947-5438	7.294
1548-5943	9.111
1947-5454	12.389
1367-5788	1.319
0084-6597	7.227
1543-592X	14.373
0066-4170	11.455
1543-5938	6.419
0066-4189	12.767
1941-1413	3.6
0066-4197	22.233
1527-8204	14.829
0732-0582	52.761
0066-4200	2.955
1941-1405	16.457
1531-7331	13.073
0066-4219	13.104
0066-4227	14.345
0147-006X	25.737
0163-8998	6.457
0199-9885	9.447
1553-4006	20
0362-1642	21.639
0066-426X	14.13
0066-4278	20.827
0066-4286	9.875
1543-5008	25.962
0066-4308	16.833
0163-7525	5.451
0954-1020	1.556
0918-7960	1.156
0972-0073	0.184
0892-7936	0.86
1871-5206	2.862
0959-4973	2.407
0003-5599	0.229
1294-5501	0.153
0250-7005	1.725
0066-4804	4.841
1523-0864	8.456
0166-3542	4.301
1359-6535	3.161
0003-6072	2.091
1445-1433	1.248
1446-1811	0.254
0268-7038	1.317
0044-8435	2.266
0903-4641	1.991
1360-8185	4.788
0195-6663	2.585
1038-6807	0.411
0003-682X	1.05
0938-1279	0.6
0003-6811	0.744
1452-8630	0.754
0168-1591	1.918
0883-9514	0.333
0273-2289	1.943
0003-6838	0.56
0926-860X	3.903
0926-3373	5.625
0927-2852	0.6
0169-1317	2.474
0929-189X	0.658
1054-4887	0.759
1063-5203	3.452
1683-3511	0.551
1589-1623	0.379
2040-5790	1.552
0306-2619	5.106
0883-8542	0.526
0003-6862	1.14
0099-2240	3.829
0003-6870	1.428
0883-2927	2.176
1672-7975	0.446
1570-7539	0.438
1062-3345	1.63
0924-669X	0.849
0937-9347	0.755
0096-3003	1.317
1935-0090	0.508
0893-9659	1.371
0253-4827	0.558
0307-904X	1.579
0095-4616	0.952
1005-1031	0.068
0862-7940	0.48
0003-6900	3.971
0175-7598	3.425
0908-4282	1.173
0168-9274	0.967
0897-1897	1.219
0141-1187	1.053
1570-5838	1.105
1559-128X	1.748
0268-2605	2.061
0947-8396	1.63
0946-2171	2.189
1882-0778	3.013
0003-6951	3.844
1715-5312	2.131
0969-8043	1.172
1430-6395	1
1568-4946	2.612
0929-1393	2.368
0003-7028	1.663
0570-4928	3.385
1524-1904	0.69
0169-4332	2.103
1359-4311	2.064
1402-2001	1.678
1355-557X	1.203
0144-8609	1.421
1869-215X	2.188
0967-6120	0.912
1353-5773	2.179
0044-8486	2.041
1864-7790	1.474
0304-3770	1.516
1052-7613	1.929
1386-2588	1.365
1463-4988	0.653
1380-6165	1.897
0165-0424	0.496
0990-7440	1.152
0948-3055	2.393
1015-1621	2.106
0166-445X	3.761
1657-5997	0.051
1878-5352	1.367
1866-7511	1.141
1319-8025	0.243
0137-5075	0.847
1745-039X	0.987
0939-1533	0.95
0325-0075	0.37
0003-9861	2.935
0354-4664	0.36
1643-8698	1.189
1875-2136	1.513
1644-9665	0.855
0887-6177	2.178
1134-3060	2.767
0003-987X	3.888
0340-3696	2.279
0003-9888	2.881
1359-2998	3.045
1743-0585	1.318
0090-4341	1.927
1933-8244	0.846
0324-8461	0.444
1521-2491	1.646
0003-9098	0.373
0003-990X	12.016
0167-4943	1.452
0932-0067	1.277
0003-9519	0.184
0914-9465	0.568
0004-069X	2.541
0739-4462	1.361
0003-9926	11.462
1029-2977	0.972
0003-9829	1.295
0004-0622	0.228
0003-925X	0.25
1775-8785	0.193
0003-889X	0.433
1432-0665	0.341
0373-2029	0.396
0188-4409	1.733
1734-1922	1.214
0301-732X	0.532
1733-3490	0.487
0302-8933	1.431
0860-7001	0.35
0003-9284	0.3
0003-9942	7.584
0003-9950	3.711
0003-9969	1.603
0936-8051	1.369
0886-4470	1.63
0003-9985	2.577
1072-4710	4.14
0929-693X	0.298
0365-6233	1.708
0253-6269	1.592
0003-9993	2.282
0883-9417	0.921
0003-9527	2.054
1661-464X	0.296
0004-0010	4.239
0003-9438	0.416
0340-5761	4.674
0304-8608	2.111
1434-1816	2.057
1075-2196	1.628
0003-813X	1.183
1523-0430	1.316
0004-0843	1.027
0373-2266	0.592
0570-7358	0.772
0004-1254	1.048
1532-4982	0.673
0004-2080	0.452
1551-7004	1.252
0066-782X	0.88
0004-2730	0.879
0102-0935	0.291
0004-2749	0.326
0004-282X	0.722
0381-7032	0.268
1855-3966	0.4
1079-5642	6.368
2151-464X	4.851
1478-6354	4.445
0004-3591	7.866
1467-8039	2.122
1872-8855	1.309
0749-8063	3.024
1073-1199	0.975
0004-3702	2.252
0933-3657	1.345
0269-2821	1.213
1064-5462	2.282
0160-564X	2
0004-4172	0.722
1058-2916	1.394
0001-2491	0.392
0117-3375	0.239
0964-7058	1.133
0217-5959	0.25
1976-7633	0.42
1932-2135	0.758
1743-7555	0.585
1010-5395	1.056
1758-5864	0.438
1011-2367	0.579
1905-7415	0.256
2095-0357	0.294
1008-682X	1.521
1683-9919	0.869
0970-7077	0.266
1561-8625	1.034
1093-6106	0.408
1015-9584	0.575
1985-1944	0.625
1976-1317	0.071
0125-877X	0.649
1513-7368	0.659
1995-7645	0.371
0001-253X	0.635
1759-0914	3.75
1540-658X	1.727
0144-5154	0.584
1592-5986	0.355
1863-8171	0.438
0303-1179	0.594
0515-0361	0.486
1531-1074	2.15
0004-6361	4.587
0935-4956	11.526
1366-8781	0.607
0004-6256	4.035
1063-7737	0.988
0004-6337	1.012
1063-7729	0.725
0927-6505	3.216
1990-3413	0.843
0004-637X	6.024
2041-8205	5.526
0067-0049	13.456
0004-640X	1.686
0571-7256	0.467
0921-7134	0.413
0178-2312	0.419
1139-7357	0.082
0212-6567	0.627
0021-9150	3.794
1567-5688	1.702
1078-7895	0.202
0843-5561	0.538
0261-1929	1.455
1680-7316	5.52
1352-2310	3.465
1867-1381	3.335
0705-5900	1.667
0169-8095	1.911
1530-261X	1.932
0187-6236	0.49
0092-640X	2.16
1063-4258	0.077
0195-5373	1.177
1044-5110	0.526
1943-3921	2.039
1431-5254	0.034
1420-3030	2.465
0743-4618	0.755
0004-8038	2.156
0385-8146	0.761
1036-7314	0.973
0045-0421	1.189
1329-1947	0.958
0300-8495	0.729
0004-9158	0.625
0156-5788	0.545
0813-0531	0.427
1364-985X	1.061
0067-1924	1.111
0004-9425	2.342
1835-2693	1.632
0004-9433	0.478
0812-0099	1.417
1326-6756	0.967
0045-0618	0.308
1322-7130	2.467
0004-9514	3.481
1448-7527	0.5
1038-5282	1
0004-9573	1.53
0004-959X	0.722
1836-716X	0.841
0004-8666	1.237
0004-8674	2.929
1326-0200	1.203
1369-1473	0.436
0045-0766	0.677
0587-3908	0.25
0312-8008	0.466
1030-1887	1.034
0005-0423	0.945
0310-138X	0.045
1442-9985	1.824
1440-6381	0.905
0004-8380	1
0158-9938	0.561
0815-3191	0.837
1039-8562	0.858
2072-7151	0.521
0379-5292	0.227
1939-3792	3.686
1568-9972	6.624
0891-6934	2.471
0926-5805	1.5
0005-1179	0.246
0928-8910	0.857
0005-1098	2.829
0005-1144	0.208
1387-2532	1.213
1566-0702	1.858
0929-5593	1.5
1554-8627	7.453
1758-1559	0.3
1712-6568	0.679
0005-2086	1.462
0307-9457	1.711
0095-6562	0.879
0001-4079	0.25
0001-4192	0.094
0273-0979	2.321
0003-0007	6.026
0003-0090	2.905
0304-9523	2.722
0004-9727	0.545
1370-1444	0.397
1678-7544	0.5
0007-4802	0.806
0007-4551	0.672
0009-2673	1.436
1413-4853	0.061
0102-0323	0.05
1570-761X	1.559
1435-9529	0.667
0007-4853	1.882
0007-4861	1.018
0108-0288	0.288
0007-4888	0.305
0006-6729	0.38
0011-6297	0.3
0367-5211	0.231
1214-1119	1.099
0007-5140	0.514
1721-8861	0.592
1735-8515	0.316
0253-2964	0.906
1015-8634	0.244
0717-7917	0.636
1068-3356	0.205
0024-6093	0.541
1690-4648	0.242
0126-6705	0.779
0007-4977	1.148
0250-4707	0.88
0092-8240	1.847
1220-3874	0.507
0366-1326	0.068
0079-032X	0.69
0239-7528	0.966
0007-4497	0.631
0037-1106	1.7
0366-2128	0.353
0037-9409	0.964
0037-8763	1
0037-9484	0.533
0375-7633	0.488
0392-4432	0
1079-8986	0.609
0042-4870	0.414
0258-8900	2.205
0042-9686	4.641
0001-6497	0.504
1311-0160	0.225
1392-0049	0.444
1392-1355	0.532
1822-427X	1.61
0067-3064	0.607
1735-8787	0.561
0253-5416	0.254
1991-007X	0.627
1028-2092	0.674
1557-1459	0.3
1439-1791	2.669
1742-7835	2.179
0300-8428	7.348
0950-091X	2.061
0005-6650	0.15
0171-5445	0.232
0932-8351	0.176
1931-6690	1.65
0005-2728	4.843
0005-2736	3.99
0304-4165	5
1874-9399	4.405
0925-4439	5.387
1388-1981	5.269
0167-4889	5.538
1570-9639	3.635
0304-419X	9.38
1744-9081	2.127
0166-4328	3.417
0140-525X	9.396
1045-2249	3.083
0340-5443	3.179
0001-8244	2.52
0144-929X	1.011
0896-4289	1.143
0953-4180	1.77
0735-7044	2.616
0955-8810	2.72
0376-6357	1.652
1540-2002	1.553
0005-7959	1.568
2190-4286	0.789
1860-5397	2.517
0778-4031	0.625
0777-6276	0.531
1089-7089	0.88
0005-9080	0.149
0170-6233	0.289
0005-9366	0.82
1350-7265	1.05
1521-690X	4.121
1521-6918	2.456
1521-6926	2.637
1521-6934	1.731
1521-6942	2.653
0005-9900	0.456
0959-2989	1.225
0952-4622	0.895
1757-6180	3.223
1024-2422	0.905
0327-9545	0.63
0006-291X	2.484
0829-8211	2.673
1369-703X	2.645
0006-2928	0.862
0264-6021	4.897
1330-0962	1.343
1470-8175	0.84
0006-2952	4.705
0300-5127	3.711
0305-1978	0.931
0006-2979	1.058
0006-2960	3.422
0300-9084	3.022
1976-0280	0.86
1043-1802	4.93
1386-6141	1.927
1342-4815	0.778
0958-3157	0.919
0208-5216	0.234
0923-9820	2.017
0960-3115	2.238
1173-8804	3.443
1567-5394	3.759
0197-8462	1.842
1939-1234	3.562
0265-9247	4.954
0269-9702	1.598
1758-5082	3.48
0951-6433	4.933
0892-7014	4.429
1932-104X	4.738
0294-3506	0.023
0168-2563	3.069
1726-4170	3.859
1389-5729	3.339
1367-4803	5.468
1565-3633	0.716
1748-3182	1.952
1934-8630	2.208
0144-8765	0.312
1083-8791	3.873
1062-3590	0.2
0006-3185	1.698
0248-4900	3.6
1431-6730	2.965
0006-3207	4.115
1049-9644	2.003
0340-1200	1.586
1745-6150	4.017
0791-7945	0.415
0178-2762	2.319
1387-3547	2.896
0024-4066	2.193
1744-9561	3.762
0233-4755	0.218
0918-6158	1.657
0169-3867	1.203
0006-3134	1.974
1480-9222	1.29
0006-3223	8.283
0301-0511	3.225
0006-3363	4.009
0716-9760	1.029
1099-8004	1.278
1464-7931	9.067
0929-1016	0.44
0860-021X	0.228
0163-4984	1.923
0006-3088	0.557
1045-1056	1.698
1525-7797	5.479
1752-0363	2.63
1354-750X	2.215
0961-9534	3.646
0142-9612	7.404
1617-7959	3.192
0269-3879	1.966
1475-925X	1.405
1016-2372	0.236
0895-3988	1.345
1748-6041	2.158
1387-2176	3.032
2156-7085	2.333
1213-8118	0.702
0753-3322	2
0388-6107	1.231
1746-8094	1
0013-5585	0.855
0120-4157	0.545
0966-0844	2.823
0323-3847	1.252
0006-341X	1.827
0006-3444	1.912
1932-1058	3.366
1874-2718	0.72
1976-9148	0.694
0045-2068	1.211
0960-894X	2.554
0968-0896	2.921
0142-2782	2.074
1542-166X	0.562
0301-4622	2.203
0006-3495	3.653
0006-3525	2.87
1947-5535	1.294
1615-7591	1.809
1088-9868	0.784
0960-8524	4.98
1930-2126	1.328
0006-355X	1.93
0916-8451	1.276
1516-3725	0.215
1881-7815	0.968
0006-3568	4.621
0144-8463	2.379
1875-1342	0.444
0956-5663	5.602
1465-4644	2.145
1537-5110	1.354
0303-2647	1.784
1052-0295	1.1
0736-6205	2.669
0734-9750	9.646
1370-6233	0.512
0885-4513	1.534
0006-3592	3.946
1754-6834	6.088
1226-8372	1.278
1310-2818	0.76
0264-8725	0.5
0730-031X	0.154
0141-5492	1.683
8756-7938	2.34
0006-3606	2.229
1398-5647	5.289
0959-2709	1.25
0006-3657	0.868
1542-9768	2.742
1542-9733	1.931
1542-975X	3.623
0730-7659	2.182
0006-3835	0.724
1470-0328	3.407
1464-4096	2.844
0006-4971	9.898
2044-5385	 
1079-9796	2.351
0957-5235	1.238
1359-5237	1.52
0803-7051	1.426
0253-5068	2.104
0268-960X	5.355
1723-2007	2.099
0006-5196	0.699
1976-6696	1.718
1471-2091	1.988
1471-2105	2.751
1741-7007	5.75
2046-1682	 
1472-6750	2.349
1471-2407	3.011
1471-2261	1.517
1471-2121	2.589
1472-6882	2.241
1471-213X	2.79
1472-6823	2.163
1471-2148	3.521
1471-2296	1.799
1471-230X	2.422
1471-2156	2.475
1471-2164	4.073
1472-6963	1.66
1471-2172	2.531
1471-2334	3.118
1741-7015	6.035
1472-6920	1.152
1472-6939	1.737
1471-2350	2.328
1755-8794	3.693
1472-6947	1.477
1471-2288	2.668
1471-2180	3.044
1471-2199	2.857
1471-2474	1.577
1471-2369	2.176
1471-2377	2.167
1471-2202	3.042
1471-2415	1
1471-2431	1.885
1471-2229	3.447
1471-2393	2.834
1471-244X	2.552
1471-2458	1.997
1472-6807	2.476
1471-2482	1.333
1752-0509	3.148
1746-6148	2
2044-5415	 
0006-579X	0.439
0046-9939	0.223
0366-3175	0.432
8756-3282	4.023
0268-3369	3.746
1239-6095	1.803
0300-9483	1.91
1512-8601	0.489
0304-8799	0.429
0253-1453	0.938
0024-4074	2.821
0006-8055	1.493
0006-8101	3.056
1817-406X	1.103
1916-2790	1.251
0006-8241	1
1687-2770	0.911
0006-8314	1.737
1538-4721	1.466
0265-086X	0.296
0006-8950	9.457
0006-8977	2.215
0889-1591	4.72
0278-2626	3.174
0387-7604	2.119
1931-7557	1.661
0269-9052	1.36
0093-934X	3.115
1015-6305	3.995
0006-8993	2.728
0361-9230	2.818
0165-0173	10.342
1935-861X	3.755
1863-2653	5.628
0896-0267	3.455
1433-7398	1.194
0006-9248	0.403
1516-8913	0.551
1519-6984	0.688
0104-6632	0.637
1413-8670	1.005
0100-879X	1.129
1517-8382	0.896
1679-8759	0.39
1984-8250	0.276
0103-9733	0.754
1516-635X	0.362
0103-0752	0.256
0960-9776	2.491
1465-542X	5.245
0167-6806	4.431
1340-6868	1.363
1661-3791	0.446
1075-122X	1.643
1556-8253	1.651
1344-7610	1.248
1467-5463	5.202
2041-2649	4.126
0007-0610	0.915
0007-070X	0.703
0007-0912	4.243
0967-4845	0.923
0007-0920	5.042
0306-5251	2.958
0007-0963	3.666
0960-1643	1.831
0007-1048	4.941
1750-8460	0.19
0007-1102	1.314
0268-8697	0.884
0007-1145	3.013
0007-1161	2.902
0266-4356	1.95
0007-1188	4.409
0007-0882	1.097
0007-1250	6.619
0007-1285	1.314
0306-3674	4.144
0007-1323	4.606
0007-1420	4.543
0959-535X	14.093
0007-1668	1.005
0007-196X	0.475
